.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR23426208_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426208_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426209_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426209_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426210_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426210_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426211_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426211_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426212_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426212_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426213_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426213_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426214_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426214_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426215_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426215_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426216_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426216_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426217_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426217_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426218_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426218_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426219_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426219_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426220_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426220_2	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR23426221_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426221_2	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR23426222_1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR23426222_2	1	1	1	0.25	0.25	1	1	1	0.5	1
