Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR23426208_1 - illumina_universal_adapter	(1, 0.00015943394571911885)	(2, 0.00016939856732656376)	(3, 0.0003288325130456826)	(4, 0.0003686909994754623)	(5, 0.0004982310803722464)	(6, 0.0008071343502030391)	(7, 0.0008868513230625985)	(8, 0.0010163914039593826)	(9, 0.0013950470250422898)	(10, 0.0016441625652284131)	(11, 0.0025708723747207914)	(12, 0.00339793596813872)	(13, 0.003916096291725856)	(14, 0.004723230641928896)	(15, 0.005749586667495723)	(16, 0.006257782369475415)	(17, 0.006546756396091318)	(18, 0.00748343082719114)	(19, 0.00833042366382396)	(20, 0.00901798255473766)	(21, 0.009785258418510918)	(22, 0.01021373714763105)	(23, 0.011070694605871314)	(24, 0.011917687442504134)	(25, 0.012655069441455058)	(26, 0.01367146084541444)	(27, 0.014677887627766378)	(28, 0.01577399600458532)	(29, 0.016690741192470254)	(30, 0.01805589435269021)	(31, 0.019510729107377167)	(32, 0.021264502510287477)	(33, 0.023715799425718928)	(34, 0.026904478340101304)	(35, 0.030860433118256942)	(36, 0.03522493738231782)	(37, 0.03892181199867989)	(38, 0.04250907577736006)	(39, 0.04605648106961045)	(40, 0.05041102071206389)	(41, 0.05596131494741071)	(42, 0.061302352129001196)	(43, 0.06625476906790133)	(44, 0.07260223303184374)	(45, 0.07895966161739361)	(46, 0.08739969611889946)	(47, 0.09490305618930549)	(48, 0.10303418742098056)	(49, 0.11266001189377235)	(50, 0.12584320628042198)	(51, 0.14069049247551493)	(52, 0.15612569134544713)	(53, 0.1748193214810138)	(54, 0.19608382399130128)	(55, 0.22543959924683404)	(56, 0.26385321554353425)	(57, 0.3000546858433817)	(58, 0.3332269111745658)	(59, 0.3625228987004539)	(60, 0.39128079665953996)	(61, 0.41891269237698475)	(62, 0.44829836149733987)	(63, 0.4779630400227034)	(64, 0.5062027776582023)	(65, 0.5384881516663239)
SRR23426208_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003686909994754623)	(4, 0.0005978772964466957)	(5, 0.001235613079323171)	(6, 0.0017238795380879724)	(7, 0.0020626766727411)	(8, 0.002461261537038897)	(9, 0.003138855806345152)	(10, 0.0035274760490355043)	(11, 0.003856308562081187)	(12, 0.00418514107512687)	(13, 0.0044342566153129925)	(14, 0.004703301398714005)	(15, 0.004862735344433124)	(16, 0.005062027776582023)	(17, 0.005231426343908587)	(18, 0.005460612640879821)	(19, 0.0057296574242808335)	(20, 0.005809374397140393)	(21, 0.005948879099644621)	(22, 0.006058489937326516)	(23, 0.006307605477512639)	(24, 0.006536791774483872)	(25, 0.006785907314669996)	(26, 0.007104775206108234)	(27, 0.008071343502030391)	(28, 0.008509786852757968)	(29, 0.009207310365279112)	(30, 0.010442923444602284)	(31, 0.01084150830890008)	(32, 0.01118030544355321)	(33, 0.011638678037495674)	(34, 0.012007369036971138)	(35, 0.012346166171624266)	(36, 0.012724821792707173)	(37, 0.01318319438664964)	(38, 0.013571814629339991)	(39, 0.014089974952927128)	(40, 0.014936967789559946)	(41, 0.01589357146387466)	(42, 0.017079361435160607)	(43, 0.019181896594331487)	(44, 0.02822977301389148)	(45, 0.20327828079187651)	(46, 0.2059786932474941)	(47, 0.20739366951575128)	(48, 0.20918730140509137)	(49, 0.211240013456225)	(50, 0.21452833858668185)	(51, 0.2276916037301166)	(52, 0.2363209660421639)	(53, 0.23978865436155475)	(54, 0.2445318142466985)	(55, 0.2464350569737205)	(56, 0.24917532791576785)	(57, 0.25168641256084395)	(58, 0.25291206101855973)	(59, 0.254396789638069)	(60, 0.2563299262299133)	(61, 0.25753564544441415)	(62, 0.25878122314534474)	(63, 0.2602061640352094)	(64, 0.26157131719542936)	(65, 0.2630959043013684)
SRR23426208_2 - illumina_universal_adapter	(1, 9.964621607444928e-05)	(2, 0.0001096108376818942)	(3, 0.00023915091857867825)	(4, 0.0002491155401861232)	(5, 0.00037865562108290726)	(6, 0.0006377357828764754)	(7, 0.0007274173773434797)	(8, 0.0008469928366328189)	(9, 0.0011957545928933913)	(10, 0.0014249408898646247)	(11, 0.002311792212927223)	(12, 0.003178714292774932)	(13, 0.0036669807515397335)	(14, 0.004414327372098103)	(15, 0.0054406833976649305)	(16, 0.005938914478037177)	(17, 0.006237853126260524)	(18, 0.007164562935752903)	(19, 0.007882015691488938)	(20, 0.008529716095972858)	(21, 0.009227239608494003)	(22, 0.0096258244727918)	(23, 0.010403064958172505)	(24, 0.011210199308375543)	(25, 0.011857899712859464)	(26, 0.012854361873603956)	(27, 0.01379103630470378)	(28, 0.014767569222233382)	(29, 0.015594632815651311)	(30, 0.01686013975979682)	(31, 0.018135611325549767)	(32, 0.019729950782740955)	(33, 0.021902238293163952)	(34, 0.02467240310003364)	(35, 0.02832941922996593)	(36, 0.03218572779204711)	(37, 0.03558366376018584)	(38, 0.03881220116099799)	(39, 0.041931127724128256)	(40, 0.04589704712389134)	(41, 0.05093914565725847)	(42, 0.05567234092079481)	(43, 0.060156420644145024)	(44, 0.06576650260913652)	(45, 0.07149616003341736)	(46, 0.07888990926614149)	(47, 0.08558613498634449)	(48, 0.09285034413817184)	(49, 0.10143984796378937)	(50, 0.11305859675807015)	(51, 0.12596278173971132)	(52, 0.14002286282781612)	(53, 0.1570524011549395)	(54, 0.17637380245177522)	(55, 0.20343771473759564)	(56, 0.23855304128223156)	(57, 0.2714960803164445)	(58, 0.3013500866523495)	(59, 0.32759689996635943)	(60, 0.353544774632146)	(61, 0.37825703621860945)	(62, 0.4045636372622641)	(63, 0.4317670542505887)	(64, 0.4578046105108423)	(65, 0.48680165938850706)
SRR23426208_2 - polya	(1, 4.982310803722464e-05)	(2, 0.00019929243214889856)	(3, 0.0006178065396615855)	(4, 0.0014349055114720695)	(5, 0.0023815445641793376)	(6, 0.0036570161299322884)	(7, 0.006317570099120084)	(8, 0.01078172057925541)	(9, 0.01506650787045673)	(10, 0.019022462648612366)	(11, 0.023526471615177475)	(12, 0.02873796871587117)	(13, 0.03317222533118416)	(14, 0.03788549135150562)	(15, 0.042170278642706935)	(16, 0.04783018371573565)	(17, 0.051935607818002966)	(18, 0.056748520054398864)	(19, 0.06146178607472031)	(20, 0.06610529974378965)	(21, 0.06995164368426339)	(22, 0.07401720930010092)	(23, 0.07824220886165757)	(24, 0.0828159701794748)	(25, 0.08773849325355258)	(26, 0.09285034413817184)	(27, 0.09847039072477078)	(28, 0.1027352487727572)	(29, 0.1066613096860905)	(30, 0.11106567243658116)	(31, 0.1152906719981378)	(32, 0.11869857258788398)	(33, 0.12212640242084503)	(34, 0.12596278173971132)	(35, 0.12944043468070962)	(36, 0.13293801686492276)	(37, 0.13634591745466895)	(38, 0.1395744548554811)	(39, 0.14238447814878058)	(40, 0.1450051736315386)	(41, 0.14767569222233382)	(42, 0.1501768122458025)	(43, 0.15311637561999875)	(44, 0.15553777867060786)	(45, 0.15794921709960955)	(46, 0.160310832420574)	(47, 0.16254290766064167)	(48, 0.16506395692732523)	(49, 0.1672960321673929)	(50, 0.1696078243803201)	(51, 0.17175021802592078)	(52, 0.17398229326598844)	(53, 0.1759951468306923)	(54, 0.17785853107128452)	(55, 0.17978170304152138)	(56, 0.1818742735790848)	(57, 0.18390705638700358)	(58, 0.18579036987081068)	(59, 0.18773347108426244)	(60, 0.18972639540575142)	(61, 0.1919186121593893)	(62, 0.19451937839893244)	(63, 0.19685109985507454)	(64, 0.19934225525693577)	(65, 0.2020526323341608)
SRR23426208_2 - polyg	(1, 0.8685363485481148)	(2, 0.8768767368335462)	(3, 0.8786504394796714)	(4, 0.8794675384514818)	(5, 0.880344425152937)	(6, 0.88161989671869)	(7, 0.8830448376085546)	(8, 0.8844897077416342)	(9, 0.8863032688741891)	(10, 0.8875388819535123)	(11, 0.8889538582217694)	(12, 0.8899204265176915)	(13, 0.8908571009487914)	(14, 0.8911958980834446)	(15, 0.8913752612723785)	(16, 0.8915745537045274)	(17, 0.8918236692447136)	(18, 0.8919731385688252)	(19, 0.8921724310009741)	(20, 0.8924115819195528)	(21, 0.892660697459739)	(22, 0.8929297422431399)	(23, 0.8930991408104665)	(24, 0.8932585747561856)	(25, 0.8934678318099419)	(26, 0.8937667704581653)	(27, 0.8943347538897897)	(28, 0.8945639401867609)	(29, 0.8949127019430215)	(30, 0.895729800914832)	(31, 0.8960984919143075)	(32, 0.8963276782112787)	(33, 0.8966166522378946)	(34, 0.8969155908861179)	(35, 0.8971946002911264)	(36, 0.8975035035609572)	(37, 0.8978323360740028)	(38, 0.8981412393438336)	(39, 0.8983704256408049)	(40, 0.8986095765593836)	(41, 0.8988088689915325)	(42, 0.8990280906668963)	(43, 0.8992572769638675)	(44, 0.8993170646935121)	(45, 0.899516357125661)	(46, 0.899606038720128)	(47, 0.8997256141794174)	(48, 0.899895012746744)	(49, 0.9001042698005003)	(50, 0.9003035622326492)	(51, 0.9005526777728353)	(52, 0.9008615810426661)	(53, 0.9011007319612448)	(54, 0.9013897059878607)	(55, 0.9016687153928692)	(56, 0.9019975479059148)	(57, 0.9022665926893159)	(58, 0.9024559204998573)	(59, 0.902695071418436)	(60, 0.9028545053641551)	(61, 0.9029940100666594)	(62, 0.9031335147691636)	(63, 0.9033328072013125)	(64, 0.903522135011854)	(65, 0.9036716043359656)
SRR23426209_1 - illumina_universal_adapter	(1, 0.00013051963783410894)	(2, 0.00014055960997519425)	(3, 0.00026103927566821787)	(4, 0.0003112391363736444)	(5, 0.000431718802066668)	(6, 0.0006425582170294594)	(7, 0.0007529979105813978)	(8, 0.0008734775762744213)	(9, 0.0011445568240837246)	(10, 0.0013654362111876013)	(11, 0.0021987538988976815)	(12, 0.0027308724223752026)	(13, 0.0031425112801597)	(14, 0.003644509887213965)	(15, 0.0042870681042434244)	(16, 0.004648507101322495)	(17, 0.004979826181978311)	(18, 0.0057127441482775375)	(19, 0.006415542198153508)	(20, 0.007017940526618627)	(21, 0.0076303788272248305)	(22, 0.007981777852162817)	(23, 0.008704655846320958)	(24, 0.009266894286221735)	(25, 0.009768892893276)	(26, 0.010552010720280653)	(27, 0.011556007934389184)	(28, 0.012539925204215544)	(29, 0.013343122975502367)	(30, 0.014638279381702372)	(31, 0.01626475486855819)	(32, 0.018262709324634165)	(33, 0.020893182025598516)	(34, 0.02400557338933496)	(35, 0.02798140235720474)	(36, 0.032991348455606306)	(37, 0.037178016838438875)	(38, 0.041324525332707106)	(39, 0.04585255276833658)	(40, 0.05087253883887923)	(41, 0.05706720164992886)	(42, 0.06273978590964206)	(43, 0.0685228098629072)	(44, 0.07532991097456303)	(45, 0.08198641250410259)	(46, 0.08977743088558478)	(47, 0.09818088756767318)	(48, 0.10648394452835072)	(49, 0.11560023923245617)	(50, 0.12859196318302055)	(51, 0.14217604548990898)	(52, 0.15648300579095553)	(53, 0.173721637957199)	(54, 0.19327950368803318)	(55, 0.21782723557298672)	(56, 0.24853951035256666)	(57, 0.27624983346196214)	(58, 0.30288587955226143)	(59, 0.3285279684005933)	(60, 0.35527445418444453)	(61, 0.3810872225591748)	(62, 0.4074019895409594)	(63, 0.4341986751855161)	(64, 0.4607242815822635)	(65, 0.49010124006707906)
SRR23426209_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00018071949853953545)	(4, 0.0003513990249379856)	(5, 0.0009638373255441891)	(6, 0.0014156360718930276)	(7, 0.0015361157375860513)	(8, 0.00181723495753644)	(9, 0.002048154316781402)	(10, 0.002258993731744193)	(11, 0.0023995533417193876)	(12, 0.0026103927566821787)	(13, 0.0027308724223752026)	(14, 0.002791112255221714)	(15, 0.0029015519487736526)	(16, 0.0030019516701845056)	(17, 0.0031525512523007853)	(18, 0.00331319080655815)	(19, 0.003453750416533344)	(20, 0.0035641901100852825)	(21, 0.0037649895529069887)	(22, 0.003885469218600012)	(23, 0.004086268661421718)	(24, 0.004256948187820168)	(25, 0.004497907519206216)	(26, 0.004688666989886837)	(27, 0.005230825485505443)	(28, 0.005582224510443428)	(29, 0.006144462950344205)	(30, 0.006847261000220177)	(31, 0.00728901977442793)	(32, 0.007680578687930257)	(33, 0.007911498047175218)	(34, 0.008232777155689949)	(35, 0.008624336069192275)	(36, 0.008945615177707004)	(37, 0.009246814341939564)	(38, 0.009628333283300806)	(39, 0.010100211973931815)	(40, 0.010682530358114763)	(41, 0.011566047906530269)	(42, 0.012600165037062055)	(43, 0.014146320746789192)	(44, 0.020290783697133396)	(45, 0.13284891137084073)	(46, 0.13481674591049345)	(47, 0.1358709429853074)	(48, 0.13692514006012135)	(49, 0.13847129576984848)	(50, 0.14057968991947642)	(51, 0.1490634663786935)	(52, 0.15455533113986716)	(53, 0.156774164983047)	(54, 0.15985643643036018)	(55, 0.16130219241867647)	(56, 0.1634708264011509)	(57, 0.16527802138654626)	(58, 0.16632217848921912)	(59, 0.16771773461682998)	(60, 0.16917353057728735)	(61, 0.1702980074570889)	(62, 0.17138232444832613)	(63, 0.1726975607988083)	(64, 0.17363127820792923)	(65, 0.17465535536631993)
SRR23426209_2 - illumina_universal_adapter	(1, 9.035974926976772e-05)	(2, 0.00010039972141085302)	(3, 0.00022087938710387667)	(4, 0.0002509993035271326)	(5, 0.0003614389970790709)	(6, 0.0004919586349131799)	(7, 0.0006023983284651181)	(8, 0.0007027980498759712)	(9, 0.0009337174091209331)	(10, 0.0011847167126480657)	(11, 0.0019176346789472928)	(12, 0.0024397132302837288)	(13, 0.002811192199503885)	(14, 0.0032931108622759795)	(15, 0.003915589135023268)	(16, 0.004266988159961254)	(17, 0.004517987463488386)	(18, 0.005190665596941101)	(19, 0.005803103897547305)	(20, 0.006315142476742656)	(21, 0.006897460860925603)	(22, 0.0072388199137225035)	(23, 0.007871338158610878)	(24, 0.008363296793524058)	(25, 0.00878497562344964)	(26, 0.009487773673325612)	(27, 0.010351211277458947)	(28, 0.011174488993027943)	(29, 0.011897366987186084)	(30, 0.013051963783410893)	(31, 0.014547919632432604)	(32, 0.01630491475712253)	(33, 0.018523748600302384)	(34, 0.02129478091124193)	(35, 0.024889090937750467)	(36, 0.02943719831766211)	(37, 0.03301142839988848)	(38, 0.036756338008513294)	(39, 0.0408526466420761)	(40, 0.045260194412012546)	(41, 0.05064161947963427)	(42, 0.05568168549445909)	(43, 0.060761911397848256)	(44, 0.06682605457106378)	(45, 0.0724785588864948)	(46, 0.07919530024888087)	(47, 0.08636384035761578)	(48, 0.09356250038277394)	(49, 0.10159447809564218)	(50, 0.11276896708867012)	(51, 0.12469645399227947)	(52, 0.13707573964223765)	(53, 0.1526176165166377)	(54, 0.1695450095465075)	(55, 0.19112090967769982)	(56, 0.2181083547929371)	(57, 0.2424352072907868)	(58, 0.26568778276954036)	(59, 0.28769540170279934)	(60, 0.31050621840734516)	(61, 0.33289535628196537)	(62, 0.35629853134283523)	(63, 0.3799727856515144)	(64, 0.40342616057308966)	(65, 0.4288674499785998)
SRR23426209_2 - polya	(1, 4.015988856434121e-05)	(2, 9.035974926976772e-05)	(3, 0.0003413590527969003)	(4, 0.0009236774369798478)	(5, 0.0014357160161751984)	(6, 0.0022389137874620226)	(7, 0.004096308633562804)	(8, 0.0074596993008263805)	(9, 0.010552010720280653)	(10, 0.013694522000440353)	(11, 0.01686715319702331)	(12, 0.02035102352997991)	(13, 0.02366421433653806)	(14, 0.027128004725212488)	(15, 0.03059179511388692)	(16, 0.0339551857811505)	(17, 0.03699729733989934)	(18, 0.04049120764499703)	(19, 0.04407547769936448)	(20, 0.04744890833876914)	(21, 0.05051109984180016)	(22, 0.0534226917627149)	(23, 0.05618368410151336)	(24, 0.05971775429517538)	(25, 0.06355302365306997)	(26, 0.06770957211947928)	(27, 0.07173560094805449)	(28, 0.07490823214463745)	(29, 0.0776089846505894)	(30, 0.08090209551286537)	(31, 0.08376348757307468)	(32, 0.08603252127695996)	(33, 0.08858267420079563)	(34, 0.09120310692961889)	(35, 0.09360266027133828)	(36, 0.0957813342259538)	(37, 0.09808048784626232)	(38, 0.09970696333311814)	(39, 0.10176515762204064)	(40, 0.10364263241242358)	(41, 0.10574098658991041)	(42, 0.10737750204890731)	(43, 0.10918469703430267)	(44, 0.11100193199183911)	(45, 0.11279908700509338)	(46, 0.11463640190691199)	(47, 0.11650383672515385)	(48, 0.11830099173840812)	(49, 0.1197567876988655)	(50, 0.12155394271211976)	(51, 0.12340129758607946)	(52, 0.12525869243218024)	(53, 0.12675464828120195)	(54, 0.1282305241859415)	(55, 0.12988711958922056)	(56, 0.13132283560539576)	(57, 0.1329392711201105)	(58, 0.13415410774918182)	(59, 0.13565006359820353)	(60, 0.13721629925221285)	(61, 0.13899337432118494)	(62, 0.14062988978018184)	(63, 0.14235676498844851)	(64, 0.14415392000170277)	(65, 0.14580047543284078)
SRR23426209_2 - polyg	(1, 0.6587125322044657)	(2, 0.6660718317838812)	(3, 0.6673569482179401)	(4, 0.6679091466856998)	(5, 0.6686119447355757)	(6, 0.669465342367568)	(7, 0.6704994594980997)	(8, 0.6715134966843495)	(9, 0.6726078536477277)	(10, 0.6734813312240021)	(11, 0.6744853284381106)	(12, 0.6751881264879867)	(13, 0.6757202450114641)	(14, 0.6759110044821448)	(15, 0.6761118039249665)	(16, 0.6762624035070828)	(17, 0.6764531629777634)	(18, 0.6766640023927262)	(19, 0.6767443221698548)	(20, 0.6768648018355479)	(21, 0.6770154014176641)	(22, 0.6773166005818967)	(23, 0.6775073600525773)	(24, 0.6776479196625526)	(25, 0.6777483193839634)	(26, 0.6778888789939386)	(27, 0.6783607576845696)	(28, 0.678521397238827)	(29, 0.6786920767652254)	(30, 0.6792844351215495)	(31, 0.67947519459223)	(32, 0.6796659540629106)	(33, 0.6799671532271432)	(34, 0.6802482724470936)	(35, 0.6804791918063385)	(36, 0.6806599113048781)	(37, 0.6808205508591355)	(38, 0.681001270357675)	(39, 0.6811920298283556)	(40, 0.6813325894383309)	(41, 0.6815133089368703)	(42, 0.6817442282961154)	(43, 0.6818546679896672)	(44, 0.6819651076832192)	(45, 0.6820153075439246)	(46, 0.6820956273210533)	(47, 0.6821558671538999)	(48, 0.6823165067081571)	(49, 0.6824470263459913)	(50, 0.682537386095261)	(51, 0.6826879856773773)	(52, 0.6828486252316347)	(53, 0.6829891848416099)	(54, 0.683230144172996)	(55, 0.6834108636715355)	(56, 0.6836016231422161)	(57, 0.6837221028079091)	(58, 0.6838827423621665)	(59, 0.6840433819164239)	(60, 0.6842140614428223)	(61, 0.6843345411085153)	(62, 0.6844650607463495)	(63, 0.6845654604677603)	(64, 0.6846959801055944)	(65, 0.6848164597712875)
