Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR23426208_1	(1, 0.004444221236920437)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012415918522876379)	(7, 0.0)	(8, 0.0)	(9, 0.0002192216753637884)	(10, 3.985848642977971e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0005530364992131935)	(22, 0.0)	(24, 0.0004484079723350217)	(26, 0.0001245577700930616)	(28, 0.00015943394571911885)	(30, 2.4911554018612317e-05)	(32, 5.48054188409471e-05)	(34, 5.48054188409471e-05)	(36, 5.48054188409471e-05)	(38, 1.9929243214889856e-05)	(40, 0.0)	(42, 5.48054188409471e-05)	(44, 0.0)	(46, 0.00041851410751268694)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00011459314848561667)	(64, 0.006462057112428036)	(66, 0.007194456800575238)	(68, 0.00032385020224196014)	(70, 0.00277016480686969)	(72, 0.0005281249451945812)	(74, 0.0006676296476988102)	(76, 0.0011260022416412767)
SRR23426208_2	(1, 0.019680127674703733)	(2, 0.015026649384026952)	(3, 0.008868513230625985)	(4, 0.004623584425854446)	(5, 0.004175176453519425)	(6, 0.002311792212927223)	(7, 0.003916096291725857)	(8, 0.00347765294099828)	(9, 0.0026406247259729058)	(10, 0.003243484333223324)	(12, 0.002844899468925527)	(14, 0.003283342819653104)	(16, 0.002461261537038897)	(18, 0.002052712051133655)	(20, 0.0026904478340101304)	(22, 0.001977977389077818)	(24, 0.0032484666440270463)	(26, 0.005375913357216539)	(28, 0.008539680717580302)	(30, 0.006581632571717374)	(32, 0.00424492880477154)	(34, 0.004215034939949204)	(36, 0.004334610399238544)	(38, 0.005943896788840899)	(40, 0.005570223478561715)	(42, 0.005709728181065943)	(44, 0.007672758637732594)	(46, 0.005983755275270679)	(48, 0.005365948735609094)	(50, 0.0037118215487732353)	(52, 0.0020377651187224875)	(54, 0.004788000682377288)	(56, 0.006302623166708916)	(58, 0.006053507626522793)	(60, 0.004842806101218235)	(62, 0.001569427903172576)	(64, 0.0020975528483671573)	(66, 0.001868366551395924)	(68, 0.001449852443883237)	(70, 0.0015345517275465188)	(72, 0.001385082403434845)	(74, 0.001494693241116739)	(76, 0.00202281818631132)
SRR23426209_1	(1, 0.004678627017745751)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.01259012506492097)	(7, 0.0)	(8, 0.0)	(9, 0.00014055960997519422)	(10, 2.5099930352713256e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006877380916643432)	(22, 0.0)	(24, 0.0005873383702534902)	(26, 0.0001656595403279075)	(28, 0.00028613920602093114)	(30, 2.5099930352713256e-05)	(32, 2.0079944282170606e-05)	(34, 9.035974926976772e-05)	(36, 4.517987463488386e-05)	(38, 3.011991642325591e-05)	(40, 0.0)	(42, 0.00016063955425736485)	(44, 0.0)	(46, 0.00038151894136124147)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00013051963783410894)	(64, 0.006802081125585293)	(66, 0.007796038367552737)	(68, 0.0004166588438550401)	(70, 0.0028463321019976833)	(72, 0.0005220785513364357)	(74, 0.0007178580080875991)	(76, 0.00115459679622481)
SRR23426209_2	(1, 0.019708465312950448)	(2, 0.015280837598731832)	(3, 0.008684575902038787)	(4, 0.0048292265998620305)	(5, 0.004417587742077534)	(6, 0.0023393135088728757)	(7, 0.004297108076384509)	(8, 0.003393510583686832)	(9, 0.002289113648167449)	(10, 0.003298130848346522)	(12, 0.0024246532720721007)	(14, 0.003288090876205437)	(16, 0.0024397132302837288)	(18, 0.001847354873959696)	(20, 0.002625452714893807)	(22, 0.002018034400358146)	(24, 0.0031676112105124134)	(26, 0.005627404385078312)	(28, 0.008950635163777547)	(30, 0.007203680011228705)	(32, 0.00463846712918141)	(34, 0.0045581473520527275)	(36, 0.004658547073463581)	(38, 0.006099283075709321)	(40, 0.005893463646817073)	(42, 0.006490841989211649)	(44, 0.008277957030324832)	(46, 0.00620972276926126)	(48, 0.005496884747244204)	(50, 0.003674629803637221)	(52, 0.002018034400358146)	(54, 0.004884446446638)	(56, 0.007007900554477542)	(58, 0.006736821306668237)	(60, 0.004784046725227147)	(62, 0.0014959558490217101)	(64, 0.0017620151107604707)	(66, 0.0019075947068062076)	(68, 0.0014306960301046557)	(70, 0.0013905361415403144)	(72, 0.0013804961693992292)	(74, 0.0014859158768806247)	(76, 0.002118434121768999)
SRR23426210_1	(1, 0.0046641468920556525)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.013301806349351415)	(7, 0.0)	(8, 9.460744202952641e-06)	(9, 0.00015137190724724226)	(10, 2.3651860507381602e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0007142861873229244)	(22, 0.0)	(24, 0.0005676446521771585)	(26, 0.00015610227934871859)	(28, 0.0002554400934797213)	(30, 2.8382232608857923e-05)	(32, 3.311260471033425e-05)	(34, 8.041632572509746e-05)	(36, 5.2034093116239535e-05)	(38, 2.8382232608857923e-05)	(40, 0.0)	(42, 0.00010406818623247907)	(44, 0.0)	(46, 0.00045411572174172677)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 8.987706992805009e-05)	(64, 0.006892152151850999)	(66, 0.007696315409101974)	(68, 0.00033112604710334244)	(70, 0.0030416292612492745)	(72, 0.0005771053963801112)	(74, 0.0006386002336993033)	(76, 0.001239357490586796)
SRR23426210_2	(1, 0.02017030664069503)	(2, 0.016650909797196647)	(3, 0.009555351644982168)	(4, 0.005629142800756821)	(5, 0.005137184102203284)	(6, 0.0029612129355241767)	(7, 0.004796597310896989)	(8, 0.004068120007269636)	(9, 0.002705772842044456)	(10, 0.003807949541688438)	(12, 0.002932830702915319)	(14, 0.0038268710300943436)	(16, 0.0028571447492916975)	(18, 0.002100285213055487)	(20, 0.003084202610162561)	(22, 0.002431411260158829)	(24, 0.003727533215963341)	(26, 0.006130562243513312)	(28, 0.009385058249329021)	(30, 0.007587516850768018)	(32, 0.005141914474304761)	(34, 0.004966890706550137)	(36, 0.005264904148943145)	(38, 0.006863769919242141)	(40, 0.0063386986159782695)	(42, 0.00678808396561852)	(44, 0.008841065457659244)	(46, 0.006584677965255039)	(48, 0.00605487628988969)	(50, 0.004115423728284399)	(52, 0.0025638616790001657)	(54, 0.00538789382358153)	(56, 0.007350998245694203)	(58, 0.007147592245330721)	(60, 0.005326398986262338)	(62, 0.0019063399568949573)	(64, 0.002242196376099776)	(66, 0.002242196376099776)	(68, 0.0017218554449373808)	(70, 0.0016603606076181887)	(72, 0.0015468316771827567)	(74, 0.0017880806543580494)	(76, 0.0022800393529115864)
SRR23426211_1	(1, 0.003955731745722495)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012601361516844514)	(7, 0.0)	(8, 1.0957705666821316e-05)	(9, 0.00018628099633596237)	(10, 2.7394264167053293e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0006136315173419937)	(22, 0.0)	(24, 0.0005040544606737805)	(26, 0.0001588867321689091)	(28, 0.00017532329066914106)	(30, 5.4788528334106585e-05)	(32, 1.6436558500231973e-05)	(34, 5.4788528334106585e-05)	(36, 4.930967550069592e-05)	(38, 1.6436558500231973e-05)	(40, 0.0)	(42, 7.122508683433856e-05)	(44, 0.0)	(46, 0.00042735052100603135)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 7.122508683433856e-05)	(64, 0.0068047352190960374)	(66, 0.007604647732773994)	(68, 0.0003561254341716928)	(70, 0.0027339475638719184)	(72, 0.00048213904934013796)	(74, 0.0006793777513429216)	(76, 0.0010738551553484891)
SRR23426211_2	(1, 0.019373223618940085)	(2, 0.014749071827541491)	(3, 0.008601798948454732)	(4, 0.004481701617729919)	(5, 0.004404997678062169)	(6, 0.002355906718366583)	(7, 0.003933816334388853)	(8, 0.0036160428700510346)	(9, 0.0024216529523675106)	(10, 0.003254438583045931)	(12, 0.002646285918537348)	(14, 0.00333114252271368)	(16, 0.0024545260693679747)	(18, 0.0019449927558607837)	(20, 0.0027777783865392037)	(22, 0.0020764852238626392)	(24, 0.0033421002283805013)	(26, 0.005456937422077015)	(28, 0.008875741590125266)	(30, 0.0069910162154320004)	(32, 0.00458032096873131)	(34, 0.0045748421158979)	(36, 0.004640588349898828)	(38, 0.005939076471417153)	(40, 0.005785668592081654)	(42, 0.005922639912916921)	(44, 0.007862153815944295)	(46, 0.0058514148260825835)	(48, 0.00549528939191089)	(50, 0.0036872679568853727)	(52, 0.0019559504615276053)	(54, 0.004788517376400916)	(56, 0.006563665694425969)	(58, 0.006136315173419937)	(60, 0.0045693632630644885)	(62, 0.0015833884688556804)	(64, 0.0019175984916937302)	(66, 0.0018135002878589279)	(68, 0.0013368400913522005)	(70, 0.0012875304158515045)	(72, 0.001265615004517862)	(74, 0.001408065178186539)	(76, 0.00208196407669605)
SRR23426212_1	(1, 0.00431561206735989)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.012482236816837577)	(7, 0.0)	(8, 0.0)	(9, 0.00016519089253052213)	(10, 2.0648861566315266e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0005884925546399851)	(22, 0.0)	(24, 0.0005471948315073546)	(26, 0.00012389316939789158)	(28, 0.00016519089253052213)	(30, 5.1622153915788157e-05)	(32, 3.6135507741051716e-05)	(34, 2.5811076957894078e-05)	(36, 7.227101548210343e-05)	(38, 2.5811076957894078e-05)	(40, 0.0)	(42, 5.678436930736697e-05)	(44, 0.0)	(46, 0.0004439505236757781)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.00017035310792210093)	(64, 0.006638608993570358)	(66, 0.007433590163873495)	(68, 0.0003716795081936748)	(70, 0.0027979207422357184)	(72, 0.0005058971083747241)	(74, 0.0007485212317789283)	(76, 0.0012182828324126007)
SRR23426212_2	(1, 0.02122702969017209)	(2, 0.0162300051911238)	(3, 0.009529449612854495)	(4, 0.005131242099229344)	(5, 0.004687291575553565)	(6, 0.002612080988138881)	(7, 0.004356909790492521)	(8, 0.0042949632057935755)	(9, 0.0027153252959704575)	(10, 0.0037167950819367475)	(12, 0.002839218465368349)	(14, 0.003644524066454644)	(16, 0.0026275676343136176)	(18, 0.0021991037568125757)	(20, 0.0029631116347662405)	(22, 0.0021010216643725784)	(24, 0.0037426061588946417)	(26, 0.006086251946671424)	(28, 0.0093332854279745)	(30, 0.007825918533633484)	(32, 0.005074457729921976)	(34, 0.004806022529559878)	(36, 0.005162215391578817)	(38, 0.006488904747214572)	(40, 0.006416633731732469)	(42, 0.006478580316431414)	(44, 0.008755117304117674)	(46, 0.006530202470347202)	(48, 0.005740383515435644)	(50, 0.0039697436361241095)	(52, 0.002276536987686258)	(54, 0.005317081853326181)	(56, 0.007325183640650341)	(58, 0.007015450717155611)	(60, 0.005306757422543023)	(62, 0.001708693294612588)	(64, 0.002059723941239948)	(66, 0.0021423193875052086)	(68, 0.001538340186690487)	(70, 0.0014918802481662778)	(72, 0.0014196092326841745)	(74, 0.0015796379098231175)	(76, 0.002271374772294679)
