Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42
SRR23426208_1	(1, 29.89604567941979)	(2, 30.301738407956393)	(3, 30.532168289704234)	(4, 30.920955639098942)	(5, 31.00221453750604)	(6, 34.14347879289371)	(7, 34.1631953910835)	(8, 34.18816254769068)	(9, 34.161905969047496)	(10, 34.23319650911404)	(12, 34.23651507687107)	(14, 34.23027518099739)	(16, 34.23759085741982)	(18, 34.25211110473376)	(20, 34.294955739143745)	(22, 34.21580146846635)	(24, 34.08722765692684)	(26, 33.98738359329038)	(28, 34.01658646142735)	(30, 33.95540278794169)	(32, 33.90007756461459)	(34, 33.95078727485934)	(36, 33.92117814909943)	(38, 33.911628653628156)	(40, 33.83193315452816)	(42, 33.63849812625256)	(44, 33.71785766813505)	(46, 33.71079319982335)	(48, 33.467511198241766)	(50, 33.391847086105486)	(52, 33.421161408535134)	(54, 33.25186816725896)	(56, 33.185291640559356)	(58, 33.1701755586964)	(60, 33.081249531662785)	(62, 33.03416320695004)	(64, 32.894362206422315)	(66, 32.72035106557678)	(68, 32.804841341301845)	(70, 32.744852774708676)	(72, 32.67926772785901)	(74, 32.68939347739785)	(76, 31.53335278427471)
SRR23426208_2	(1, 30.13981211108082)	(2, 30.19587905101727)	(3, 30.329888762936072)	(4, 30.323968083715577)	(5, 30.28249941408025)	(6, 33.597880883710474)	(7, 33.66766392599714)	(8, 33.821264980812124)	(9, 33.75202869731306)	(10, 33.60163385914649)	(12, 33.4985469588772)	(14, 33.3922779563438)	(16, 33.29876202530536)	(18, 33.24158099085008)	(20, 33.150134960835054)	(22, 33.1747789149404)	(24, 33.1624143142188)	(26, 33.01298185920707)	(28, 33.06032462345688)	(30, 33.05856865783721)	(32, 32.97418525267889)	(34, 32.868000550844286)	(36, 32.66929518437739)	(38, 32.604308861817)	(40, 32.46777316814382)	(42, 32.40387558014027)	(44, 32.49445747816951)	(46, 32.387092068320634)	(48, 32.161201271007414)	(50, 32.07704202001215)	(52, 31.86682826293527)	(54, 31.7793400809765)	(56, 31.684693613793584)	(58, 31.563538363394606)	(60, 31.633718595498543)	(62, 31.620313140226937)	(64, 31.418580222777052)	(66, 31.196546232256992)	(68, 31.214348028758693)	(70, 31.03348172647831)	(72, 30.82354284348848)	(74, 30.793870791143128)	(76, 28.780480183157717)
SRR23426209_1	(1, 29.876691672555946)	(2, 30.294247085923185)	(3, 30.58527405158156)	(4, 30.94081004704028)	(5, 31.040527050345542)	(6, 34.16777174966695)	(7, 34.14938645228247)	(8, 34.179029972027635)	(9, 34.20524454008745)	(10, 34.26970743621581)	(12, 34.24527852740114)	(14, 34.26333938308588)	(16, 34.26415628541913)	(18, 34.26484869209785)	(20, 34.31182441654961)	(22, 34.226084158861674)	(24, 34.09197422698992)	(26, 33.987839485342995)	(28, 34.03861584124876)	(30, 33.97986327967537)	(32, 33.933292417100205)	(34, 33.979153905443745)	(36, 33.95905418241645)	(38, 33.95428961323718)	(40, 33.8724467723347)	(42, 33.69530371267126)	(44, 33.778133984833815)	(46, 33.762888738936326)	(48, 33.53799396537434)	(50, 33.45245470792868)	(52, 33.48590322651573)	(54, 33.31702286312496)	(56, 33.2579677469911)	(58, 33.23369189755172)	(60, 33.1526033597562)	(62, 33.0974645355554)	(64, 32.977587669789735)	(66, 32.79495319716386)	(68, 32.87107174795011)	(70, 32.80888576690377)	(72, 32.754851339638506)	(74, 32.76913139281422)	(76, 31.60077606976656)
SRR23426209_2	(1, 29.792048181424708)	(2, 29.99831760186832)	(3, 30.196087583496173)	(4, 30.200930364058426)	(5, 30.171315257434422)	(6, 33.46214443564162)	(7, 33.54320486151515)	(8, 33.71104528459154)	(9, 33.631104516411185)	(10, 33.47526959082194)	(12, 33.369564597532154)	(14, 33.27188696356805)	(16, 33.17483843425831)	(18, 33.124700469981136)	(20, 33.02831673742672)	(22, 33.05450781195172)	(24, 33.04954821631361)	(26, 32.893855808128905)	(28, 32.9432466478792)	(30, 32.94419236305503)	(32, 32.847442171517464)	(34, 32.743306676872635)	(36, 32.53102667650718)	(38, 32.46000998776428)	(40, 32.32520042043387)	(42, 32.27217049238132)	(44, 32.36918839977603)	(46, 32.252767744220066)	(48, 32.03122777714917)	(50, 31.943271747809554)	(52, 31.724002973036548)	(54, 31.639036194802365)	(56, 31.52839439661123)	(58, 31.420639542209397)	(60, 31.491692977250327)	(62, 31.478851501482854)	(64, 31.276862773761174)	(66, 31.05132368498704)	(68, 31.060680838622808)	(70, 30.883252593550704)	(72, 30.66128838745698)	(74, 30.63968367260575)	(76, 28.58249287889876)
SRR23426210_1	(1, 29.82471568335003)	(2, 30.19318461232661)	(3, 30.567946544524673)	(4, 30.962147846266312)	(5, 31.051190667770545)	(6, 34.14485364370629)	(7, 34.14097227878959)	(8, 34.170521115766114)	(9, 34.20434147875027)	(10, 34.24575101421543)	(12, 34.22660440740121)	(14, 34.25125234236201)	(16, 34.26543688344921)	(18, 34.262169047794075)	(20, 34.293717507665335)	(22, 34.197828182100025)	(24, 34.094835777090864)	(26, 34.00169985921467)	(28, 34.017013208996445)	(30, 33.947888707211064)	(32, 33.8805555973405)	(34, 33.93820222965143)	(36, 33.92342341191711)	(38, 33.900884939091256)	(40, 33.83990377287856)	(42, 33.624029126603965)	(44, 33.66267877377024)	(46, 33.68894336070043)	(48, 33.434331886501724)	(50, 33.380399305846275)	(52, 33.40983362051422)	(54, 33.236984310207205)	(56, 33.12843262999323)	(58, 33.14944111126658)	(60, 33.0732490078281)	(62, 32.991605623579886)	(64, 32.896901256225995)	(66, 32.71169304464061)	(68, 32.83267959590891)	(70, 32.77972993927243)	(72, 32.64726570774455)	(74, 32.63860917410258)	(76, 31.515132507656343)
SRR23426210_2	(1, 30.848136228661645)	(2, 30.763360675830153)	(3, 30.897172022725087)	(4, 30.872902186406368)	(5, 30.835758453198597)	(6, 34.332794543950975)	(7, 34.382669316810336)	(8, 34.48043920180458)	(9, 34.423767262665166)	(10, 34.304926408182105)	(12, 34.21608188387637)	(14, 34.120089294288086)	(16, 34.041406318812136)	(18, 34.000860360077816)	(20, 33.93127994502929)	(22, 33.93783586233217)	(24, 33.92599857918544)	(26, 33.810851908795016)	(28, 33.8593934735813)	(30, 33.85451428397351)	(32, 33.78910355002127)	(34, 33.69790079331178)	(36, 33.52905039766819)	(38, 33.47458285923179)	(40, 33.344178468235505)	(42, 33.292770534474336)	(44, 33.37089598829441)	(46, 33.28524148502274)	(48, 33.10659827305467)	(50, 33.02804533550779)	(52, 32.82650584536811)	(54, 32.73864126494691)	(56, 32.62715140870954)	(58, 32.516166850820056)	(60, 32.59755749128689)	(62, 32.58842460917429)	(64, 32.40836966495626)	(66, 32.21264129503208)	(68, 32.2287281552599)	(70, 32.07808519835349)	(72, 31.880601434646174)	(74, 31.826625050745065)	(76, 29.796140262344544)
SRR23426211_1	(1, 29.80139465294645)	(2, 30.172188619809035)	(3, 30.497127437459444)	(4, 30.911260006850757)	(5, 30.991357986271748)	(6, 34.10285275100871)	(7, 34.134168887610976)	(8, 34.12429226918525)	(9, 34.15150792274993)	(10, 34.1869385134645)	(12, 34.17254578622524)	(14, 34.20009953979827)	(16, 34.198213718653015)	(18, 34.19440871014874)	(20, 34.241357767117634)	(22, 34.15242815087183)	(24, 34.0204093842668)	(26, 33.92320374166201)	(28, 33.95285080053711)	(30, 33.880614043527075)	(32, 33.82049371476961)	(34, 33.87459535932399)	(36, 33.863446715635924)	(38, 33.85035718833162)	(40, 33.779286440781604)	(42, 33.574803599562486)	(44, 33.630016465048534)	(46, 33.64428169938236)	(48, 33.39822789792415)	(50, 33.33277691930242)	(52, 33.35488661075753)	(54, 33.19554009325884)	(56, 33.098920085233416)	(58, 33.108065879479696)	(60, 33.023451791245186)	(62, 32.9430823346663)	(64, 32.8475937645395)	(66, 32.68532888129057)	(68, 32.77552745464112)	(70, 32.70689381040846)	(72, 32.59444802639668)	(74, 32.59682310909996)	(76, 31.468733173073236)
SRR23426211_2	(1, 30.77958136742962)	(2, 30.67693593621213)	(3, 30.831970815685036)	(4, 30.808711222597243)	(5, 30.769949544148485)	(6, 34.248066896354786)	(7, 34.300216809164326)	(8, 34.40476877159079)	(9, 34.35228311467962)	(10, 34.23642060846386)	(12, 34.145094541988726)	(14, 34.04569889232937)	(16, 33.95914167414895)	(18, 33.92276028331367)	(20, 33.846399429410354)	(22, 33.85872646476582)	(24, 33.850409730530295)	(26, 33.733457590063026)	(28, 33.784225900553565)	(30, 33.77585755552434)	(32, 33.70745835140441)	(34, 33.61513836623676)	(36, 33.44120730686112)	(38, 33.38656648839941)	(40, 33.24976725833164)	(42, 33.19590958709392)	(44, 33.27492845166085)	(46, 33.183044035293456)	(48, 33.00859922388763)	(50, 32.93255345881075)	(52, 32.72621860096835)	(54, 32.633787230722604)	(56, 32.529140867661816)	(58, 32.42536509431626)	(60, 32.49061341017169)	(62, 32.46813219770594)	(64, 32.28400658207464)	(66, 32.088125704169556)	(68, 32.11840480350752)	(70, 31.9677720727092)	(72, 31.76087294781349)	(74, 31.704135646315066)	(76, 29.641597773744856)
SRR23426212_1	(1, 29.924105109313007)	(2, 30.28314503636471)	(3, 30.553628087572648)	(4, 30.910503910687893)	(5, 30.979992388829626)	(6, 34.14167844684219)	(7, 34.14890141861809)	(8, 34.141420852294154)	(9, 34.14038376322198)	(10, 34.21487478943324)	(12, 34.182293776722204)	(14, 34.21229946341869)	(16, 34.21676003049424)	(18, 34.19130881157129)	(20, 34.25132343715994)	(22, 34.15428566089366)	(24, 34.011510914368756)	(26, 33.90771316542505)	(28, 33.96814820183519)	(30, 33.891228869503735)	(32, 33.84477290588538)	(34, 33.89556089741605)	(36, 33.89246258736017)	(38, 33.87591422834585)	(40, 33.80081911968947)	(42, 33.616235848818945)	(44, 33.68729513748218)	(46, 33.681329320020595)	(48, 33.44620806371083)	(50, 33.36423032813932)	(52, 33.40529662915594)	(54, 33.22235272302732)	(56, 33.14093116454211)	(58, 33.14560637653364)	(60, 33.07236316102684)	(62, 32.98845950613705)	(64, 32.88213505924778)	(66, 32.71603401652156)	(68, 32.799434510277145)	(70, 32.725450413617345)	(72, 32.65765937514067)	(74, 32.65939991930425)	(76, 31.484318118839155)
SRR23426212_2	(1, 30.85967952553872)	(2, 30.773220470785784)	(3, 30.918388265499757)	(4, 30.90336725115334)	(5, 30.872513102735105)	(6, 34.38290897857929)	(7, 34.43274707085574)	(8, 34.534844953893156)	(9, 34.47318817596629)	(10, 34.36520154734309)	(12, 34.270305058021236)	(14, 34.176122451465886)	(16, 34.09912315641802)	(18, 34.06808141309246)	(20, 33.98443726277039)	(22, 34.003303301629074)	(24, 34.000880106102116)	(26, 33.88644225690405)	(28, 33.93613456821785)	(30, 33.92454782090499)	(32, 33.85020990600225)	(34, 33.761775839262654)	(36, 33.58320427794854)	(38, 33.522080034161476)	(40, 33.39576521790124)	(42, 33.355649229116054)	(44, 33.435376703376214)	(46, 33.338723047557224)	(48, 33.162304233305704)	(50, 33.09052450586242)	(52, 32.87832740917495)	(54, 32.77856842268715)	(56, 32.66481033401186)	(58, 32.58194882716531)	(60, 32.640316086578196)	(62, 32.60750612961455)	(64, 32.41705378119888)	(66, 32.21670138772739)	(68, 32.250742894417)	(70, 32.103549962604916)	(72, 31.886010489208697)	(74, 31.82891499317968)	(76, 29.69853932018166)
