Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR23426208_1	(16.0, 1.0)	(17.0, 9.0)	(18.0, 114.0)	(19.0, 391.0)	(20.0, 1270.0)	(21.0, 3395.0)	(22.0, 8186.0)	(23.0, 17473.0)	(24.0, 34753.0)	(25.0, 65346.0)	(26.0, 112264.0)	(27.0, 176016.0)	(28.0, 252009.0)	(29.0, 346237.0)	(30.0, 465105.0)	(31.0, 627745.0)	(32.0, 893200.0)	(33.0, 1438026.0)	(34.0, 2790595.0)	(35.0, 2803369.0)														
SRR23426208_2	(2.0, 10.0)	(3.0, 19.0)	(4.0, 14.0)	(5.0, 20.0)	(6.0, 19.0)	(7.0, 19.0)	(8.0, 17.0)	(9.0, 19.0)	(10.0, 11.0)	(11.0, 16.0)	(12.0, 17.0)	(13.0, 16.0)	(14.0, 91.0)	(15.0, 1145.0)	(16.0, 4726.0)	(17.0, 8799.0)	(18.0, 12022.0)	(19.0, 15628.0)	(20.0, 22068.0)	(21.0, 31943.0)	(22.0, 47445.0)	(23.0, 73813.0)	(24.0, 113827.0)	(25.0, 168307.0)	(26.0, 237274.0)	(27.0, 317878.0)	(28.0, 408949.0)	(29.0, 518229.0)	(30.0, 659134.0)	(31.0, 857576.0)	(32.0, 1175776.0)	(33.0, 1709644.0)	(34.0, 2396525.0)	(35.0, 1254508.0)
SRR23426209_1	(16.0, 2.0)	(17.0, 11.0)	(18.0, 66.0)	(19.0, 311.0)	(20.0, 1123.0)	(21.0, 3070.0)	(22.0, 7488.0)	(23.0, 16104.0)	(24.0, 32869.0)	(25.0, 62093.0)	(26.0, 107317.0)	(27.0, 168162.0)	(28.0, 243455.0)	(29.0, 336268.0)	(30.0, 450347.0)	(31.0, 608692.0)	(32.0, 870058.0)	(33.0, 1415263.0)	(34.0, 2784093.0)	(35.0, 2853395.0)														
SRR23426209_2	(2.0, 10.0)	(3.0, 9.0)	(4.0, 12.0)	(5.0, 20.0)	(6.0, 14.0)	(7.0, 23.0)	(8.0, 17.0)	(9.0, 10.0)	(10.0, 14.0)	(11.0, 18.0)	(12.0, 17.0)	(13.0, 19.0)	(14.0, 60.0)	(15.0, 856.0)	(16.0, 3410.0)	(17.0, 6432.0)	(18.0, 9152.0)	(19.0, 12720.0)	(20.0, 19255.0)	(21.0, 31297.0)	(22.0, 51187.0)	(23.0, 82003.0)	(24.0, 127966.0)	(25.0, 187396.0)	(26.0, 259049.0)	(27.0, 339592.0)	(28.0, 432384.0)	(29.0, 542298.0)	(30.0, 683526.0)	(31.0, 883830.0)	(32.0, 1201130.0)	(33.0, 1711387.0)	(34.0, 2275359.0)	(35.0, 1099715.0)
SRR23426210_1	(16.0, 1.0)	(17.0, 27.0)	(18.0, 102.0)	(19.0, 428.0)	(20.0, 1370.0)	(21.0, 3501.0)	(22.0, 8941.0)	(23.0, 18976.0)	(24.0, 37897.0)	(25.0, 71197.0)	(26.0, 120716.0)	(27.0, 188545.0)	(28.0, 272639.0)	(29.0, 370822.0)	(30.0, 492386.0)	(31.0, 657784.0)	(32.0, 930103.0)	(33.0, 1495862.0)	(34.0, 2917858.0)	(35.0, 2980838.0)														
SRR23426210_2	(2.0, 12.0)	(3.0, 19.0)	(4.0, 20.0)	(5.0, 26.0)	(6.0, 23.0)	(7.0, 24.0)	(8.0, 16.0)	(9.0, 17.0)	(10.0, 26.0)	(11.0, 25.0)	(12.0, 21.0)	(13.0, 19.0)	(14.0, 112.0)	(15.0, 2248.0)	(16.0, 9820.0)	(17.0, 15477.0)	(18.0, 17616.0)	(19.0, 19407.0)	(20.0, 22928.0)	(21.0, 27396.0)	(22.0, 32876.0)	(23.0, 42022.0)	(24.0, 59027.0)	(25.0, 88031.0)	(26.0, 132009.0)	(27.0, 189775.0)	(28.0, 267090.0)	(29.0, 364304.0)	(30.0, 490939.0)	(31.0, 675243.0)	(32.0, 976217.0)	(33.0, 1582874.0)	(34.0, 2984598.0)	(35.0, 2569736.0)
SRR23426211_1	(16.0, 2.0)	(17.0, 12.0)	(18.0, 71.0)	(19.0, 335.0)	(20.0, 1104.0)	(21.0, 2981.0)	(22.0, 7144.0)	(23.0, 16204.0)	(24.0, 33134.0)	(25.0, 62751.0)	(26.0, 107902.0)	(27.0, 169889.0)	(28.0, 244783.0)	(29.0, 333956.0)	(30.0, 442665.0)	(31.0, 588206.0)	(32.0, 825308.0)	(33.0, 1306524.0)	(34.0, 2483607.0)	(35.0, 2499420.0)														
SRR23426211_2	(2.0, 4.0)	(3.0, 17.0)	(4.0, 15.0)	(5.0, 17.0)	(6.0, 15.0)	(7.0, 20.0)	(8.0, 10.0)	(9.0, 17.0)	(10.0, 19.0)	(11.0, 11.0)	(12.0, 8.0)	(13.0, 21.0)	(14.0, 101.0)	(15.0, 1993.0)	(16.0, 7414.0)	(17.0, 11574.0)	(18.0, 12842.0)	(19.0, 15026.0)	(20.0, 18984.0)	(21.0, 24425.0)	(22.0, 29624.0)	(23.0, 39047.0)	(24.0, 56264.0)	(25.0, 83494.0)	(26.0, 125027.0)	(27.0, 179849.0)	(28.0, 249837.0)	(29.0, 337398.0)	(30.0, 451685.0)	(31.0, 608712.0)	(32.0, 868550.0)	(33.0, 1381540.0)	(34.0, 2517774.0)	(35.0, 2104664.0)
SRR23426212_1	(16.0, 1.0)	(17.0, 12.0)	(18.0, 96.0)	(19.0, 345.0)	(20.0, 1110.0)	(21.0, 3151.0)	(22.0, 7206.0)	(23.0, 16299.0)	(24.0, 33811.0)	(25.0, 64023.0)	(26.0, 110523.0)	(27.0, 172946.0)	(28.0, 251234.0)	(29.0, 345079.0)	(30.0, 460813.0)	(31.0, 617888.0)	(32.0, 871349.0)	(33.0, 1400762.0)	(34.0, 2684864.0)	(35.0, 2644252.0)														
SRR23426212_2	(2.0, 11.0)	(3.0, 19.0)	(4.0, 6.0)	(5.0, 16.0)	(6.0, 25.0)	(7.0, 25.0)	(8.0, 21.0)	(9.0, 18.0)	(10.0, 12.0)	(11.0, 14.0)	(12.0, 16.0)	(13.0, 22.0)	(14.0, 68.0)	(15.0, 1111.0)	(16.0, 4511.0)	(17.0, 7682.0)	(18.0, 9346.0)	(19.0, 11437.0)	(20.0, 15599.0)	(21.0, 20505.0)	(22.0, 26044.0)	(23.0, 36027.0)	(24.0, 53500.0)	(25.0, 80890.0)	(26.0, 121653.0)	(27.0, 177629.0)	(28.0, 248425.0)	(29.0, 337676.0)	(30.0, 457564.0)	(31.0, 625429.0)	(32.0, 905302.0)	(33.0, 1469584.0)	(34.0, 2748092.0)	(35.0, 2327485.0)
SRR23426213_1	(17.0, 23.0)	(18.0, 143.0)	(19.0, 517.0)	(20.0, 1693.0)	(21.0, 4359.0)	(22.0, 9762.0)	(23.0, 20052.0)	(24.0, 40069.0)	(25.0, 73656.0)	(26.0, 125115.0)	(27.0, 195332.0)	(28.0, 281490.0)	(29.0, 384350.0)	(30.0, 509696.0)	(31.0, 684365.0)	(32.0, 970110.0)	(33.0, 1563270.0)	(34.0, 3012340.0)	(35.0, 3003177.0)															
SRR23426213_2	(2.0, 13.0)	(3.0, 19.0)	(4.0, 16.0)	(5.0, 13.0)	(6.0, 21.0)	(7.0, 21.0)	(8.0, 10.0)	(9.0, 19.0)	(10.0, 26.0)	(11.0, 13.0)	(12.0, 15.0)	(13.0, 30.0)	(14.0, 101.0)	(15.0, 1381.0)	(16.0, 5868.0)	(17.0, 10574.0)	(18.0, 12791.0)	(19.0, 15716.0)	(20.0, 21123.0)	(21.0, 27783.0)	(22.0, 34897.0)	(23.0, 46435.0)	(24.0, 65966.0)	(25.0, 98265.0)	(26.0, 145255.0)	(27.0, 207846.0)	(28.0, 287031.0)	(29.0, 387749.0)	(30.0, 517274.0)	(31.0, 705711.0)	(32.0, 1017042.0)	(33.0, 1648661.0)	(34.0, 3055809.0)	(35.0, 2566025.0)
SRR23426214_1	(17.0, 13.0)	(18.0, 96.0)	(19.0, 429.0)	(20.0, 1404.0)	(21.0, 3648.0)	(22.0, 8469.0)	(23.0, 17505.0)	(24.0, 34295.0)	(25.0, 62331.0)	(26.0, 105805.0)	(27.0, 164424.0)	(28.0, 235854.0)	(29.0, 321439.0)	(30.0, 424570.0)	(31.0, 567013.0)	(32.0, 804287.0)	(33.0, 1297369.0)	(34.0, 2526225.0)	(35.0, 2576548.0)															
SRR23426214_2	(2.0, 5.0)	(3.0, 9.0)	(4.0, 15.0)	(5.0, 18.0)	(6.0, 19.0)	(7.0, 21.0)	(8.0, 14.0)	(9.0, 14.0)	(10.0, 18.0)	(11.0, 14.0)	(12.0, 23.0)	(13.0, 26.0)	(14.0, 60.0)	(15.0, 1134.0)	(16.0, 5348.0)	(17.0, 9860.0)	(18.0, 11945.0)	(19.0, 14181.0)	(20.0, 17934.0)	(21.0, 23310.0)	(22.0, 29079.0)	(23.0, 38404.0)	(24.0, 55293.0)	(25.0, 82753.0)	(26.0, 122789.0)	(27.0, 174280.0)	(28.0, 241773.0)	(29.0, 324627.0)	(30.0, 434340.0)	(31.0, 592341.0)	(32.0, 853716.0)	(33.0, 1384417.0)	(34.0, 2570857.0)	(35.0, 2163087.0)
SRR23426215_1	(16.0, 1.0)	(17.0, 9.0)	(18.0, 90.0)	(19.0, 314.0)	(20.0, 976.0)	(21.0, 3035.0)	(22.0, 7198.0)	(23.0, 16819.0)	(24.0, 33854.0)	(25.0, 64309.0)	(26.0, 110839.0)	(27.0, 171633.0)	(28.0, 248468.0)	(29.0, 338543.0)	(30.0, 449539.0)	(31.0, 602991.0)	(32.0, 858446.0)	(33.0, 1385111.0)	(34.0, 2677315.0)	(35.0, 2675731.0)														
SRR23426215_2	(2.0, 9.0)	(3.0, 12.0)	(4.0, 11.0)	(5.0, 18.0)	(6.0, 14.0)	(7.0, 15.0)	(8.0, 10.0)	(9.0, 13.0)	(10.0, 11.0)	(11.0, 14.0)	(12.0, 21.0)	(13.0, 18.0)	(14.0, 92.0)	(15.0, 1234.0)	(16.0, 4942.0)	(17.0, 9656.0)	(18.0, 13123.0)	(19.0, 17066.0)	(20.0, 23736.0)	(21.0, 35082.0)	(22.0, 53199.0)	(23.0, 83691.0)	(24.0, 127670.0)	(25.0, 186889.0)	(26.0, 256953.0)	(27.0, 338983.0)	(28.0, 431314.0)	(29.0, 539513.0)	(30.0, 682892.0)	(31.0, 885063.0)	(32.0, 1194402.0)	(33.0, 1674920.0)	(34.0, 2123746.0)	(35.0, 960889.0)
SRR23426216_1	(17.0, 11.0)	(18.0, 82.0)	(19.0, 307.0)	(20.0, 1080.0)	(21.0, 2789.0)	(22.0, 6865.0)	(23.0, 14799.0)	(24.0, 31267.0)	(25.0, 59068.0)	(26.0, 102404.0)	(27.0, 161097.0)	(28.0, 235829.0)	(29.0, 326314.0)	(30.0, 437460.0)	(31.0, 587775.0)	(32.0, 836310.0)	(33.0, 1344390.0)	(34.0, 2605595.0)	(35.0, 2593566.0)															
SRR23426216_2	(2.0, 4.0)	(3.0, 10.0)	(4.0, 23.0)	(5.0, 18.0)	(6.0, 15.0)	(7.0, 14.0)	(8.0, 17.0)	(9.0, 10.0)	(10.0, 14.0)	(11.0, 12.0)	(12.0, 17.0)	(13.0, 22.0)	(14.0, 45.0)	(15.0, 544.0)	(16.0, 2352.0)	(17.0, 4507.0)	(18.0, 6271.0)	(19.0, 8623.0)	(20.0, 13003.0)	(21.0, 19419.0)	(22.0, 27538.0)	(23.0, 41096.0)	(24.0, 64822.0)	(25.0, 100002.0)	(26.0, 148202.0)	(27.0, 210523.0)	(28.0, 285479.0)	(29.0, 380365.0)	(30.0, 499327.0)	(31.0, 671675.0)	(32.0, 957599.0)	(33.0, 1506004.0)	(34.0, 2558199.0)	(35.0, 1841237.0)
SRR23426217_1	(17.0, 7.0)	(18.0, 95.0)	(19.0, 372.0)	(20.0, 1342.0)	(21.0, 3947.0)	(22.0, 9236.0)	(23.0, 19235.0)	(24.0, 37504.0)	(25.0, 69856.0)	(26.0, 119401.0)	(27.0, 185451.0)	(28.0, 265430.0)	(29.0, 364150.0)	(30.0, 485099.0)	(31.0, 654441.0)	(32.0, 934951.0)	(33.0, 1514864.0)	(34.0, 2971257.0)	(35.0, 3088874.0)															
SRR23426217_2	(2.0, 9.0)	(3.0, 21.0)	(4.0, 19.0)	(5.0, 32.0)	(6.0, 19.0)	(7.0, 18.0)	(8.0, 15.0)	(9.0, 24.0)	(10.0, 17.0)	(11.0, 28.0)	(12.0, 29.0)	(13.0, 30.0)	(14.0, 58.0)	(15.0, 1002.0)	(16.0, 4623.0)	(17.0, 8432.0)	(18.0, 10509.0)	(19.0, 13240.0)	(20.0, 18571.0)	(21.0, 26390.0)	(22.0, 35808.0)	(23.0, 50288.0)	(24.0, 75360.0)	(25.0, 113984.0)	(26.0, 165271.0)	(27.0, 233249.0)	(28.0, 315184.0)	(29.0, 417061.0)	(30.0, 547632.0)	(31.0, 739136.0)	(32.0, 1056504.0)	(33.0, 1684521.0)	(34.0, 2972079.0)	(35.0, 2236349.0)
SRR23426218_1	(16.0, 1.0)	(17.0, 22.0)	(18.0, 126.0)	(19.0, 486.0)	(20.0, 1779.0)	(21.0, 4865.0)	(22.0, 11188.0)	(23.0, 22998.0)	(24.0, 44835.0)	(25.0, 81932.0)	(26.0, 139543.0)	(27.0, 215202.0)	(28.0, 300844.0)	(29.0, 407676.0)	(30.0, 544094.0)	(31.0, 731695.0)	(32.0, 1041398.0)	(33.0, 1685100.0)	(34.0, 3319012.0)	(35.0, 3497939.0)														
