Sample	Unique Reads	Duplicate Reads
SRR23426208_1	4329082.0	5706422.0
SRR23426208_2	8003100.0	2032404.0
SRR23426209_1	4047992.0	5912195.0
SRR23426209_2	7843744.0	2116443.0
SRR23426210_1	4962324.0	5607669.0
SRR23426210_2	8214997.0	2354996.0
SRR23426211_1	3752183.0	5373815.0
SRR23426211_2	6505372.0	2620626.0
SRR23426212_1	3873042.0	5812722.0
SRR23426212_2	6959040.0	2726724.0
SRR23426213_1	4588279.0	6291240.0
SRR23426213_2	7858900.0	3020619.0
SRR23426214_1	3822770.0	5328954.0
SRR23426214_2	6448114.0	2703610.0
SRR23426215_1	3869465.0	5775756.0
SRR23426215_2	7621901.0	2023320.0
SRR23426216_1	3632061.0	5714947.0
SRR23426216_2	6644531.0	2702477.0
SRR23426217_1	3884136.0	6841376.0
SRR23426217_2	7728437.0	2997075.0
SRR23426218_1	4693194.0	7357541.0
SRR23426218_2	8960790.0	3089945.0
SRR23426219_1	4008441.0	6880272.0
SRR23426219_2	7860825.0	3027888.0
SRR23426220_1	3799710.0	5645734.0
SRR23426220_2	6599400.0	2846044.0
SRR23426221_1	3890042.0	6653607.0
SRR23426221_2	8199896.0	2343753.0
SRR23426222_1	4335123.0	5997410.0
SRR23426222_2	7841170.0	2491363.0
