Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR23426208_1	(1.0, 36.83573843565918)	(2.0, 7.291564823524414)	(3.0, 3.586394657320677)	(4.0, 2.1501422196511184)	(5.0, 1.4621383884299402)	(6.0, 1.0248438832013287)	(7.0, 0.753738583592047)	(8.0, 0.5723406728574861)	(9.0, 0.49027038381397264)	('>10', 3.4413107771021405)	('>50', 0.42886845910973315)	('>100', 0.6591693815425387)	('>500', 0.4605384655293387)	('>1k', 2.5602233750306094)	('>5k', 3.820791858604037)	('>10k+', 34.46192563503146)
SRR23426208_2	(1.0, 74.3276883777834)	(2.0, 7.775785756575335)	(3.0, 2.5972388629838226)	(4.0, 1.2521408497821847)	(5.0, 0.6540912316414786)	(6.0, 0.45527957055934026)	(7.0, 0.31362154047877866)	(8.0, 0.2275574715076166)	(9.0, 0.1627290799292403)	('>10', 0.7785141199595896)	('>50', 0.040548884497786014)	('>100', 0.17996079451117677)	('>500', 0.14718798657987528)	('>1k', 1.6913778706136835)	('>5k', 2.05326130146667)	('>10k+', 7.3430163011300245)
SRR23426209_1	(1.0, 34.56675243573141)	(2.0, 6.891395600151859)	(3.0, 3.5296368054957927)	(4.0, 2.0713725570312453)	(5.0, 1.459141966191988)	(6.0, 1.0328651291861826)	(7.0, 0.7787328500987306)	(8.0, 0.6107702230328984)	(9.0, 0.47111175733763183)	('>10', 3.5401889763668275)	('>50', 0.47997105721951727)	('>100', 0.7025615791820387)	('>500', 0.4756487226951484)	('>1k', 2.328278599636639)	('>5k', 3.717111335864924)	('>10k+', 37.34446040477717)
SRR23426209_2	(1.0, 73.01575821794152)	(2.0, 8.041283744215738)	(3.0, 2.890205519061204)	(4.0, 1.3522962200468214)	(5.0, 0.8148156380992054)	(6.0, 0.5254546555452779)	(7.0, 0.3442039795645344)	(8.0, 0.2502519326924467)	(9.0, 0.18948359326883052)	('>10', 0.8257194827285581)	('>50', 0.04883048986377833)	('>100', 0.2493322438005693)	('>500', 0.24025357433443262)	('>1k', 2.22929861319088)	('>5k', 1.7660055417599292)	('>10k+', 7.216806553886329)
SRR23426210_1	(1.0, 40.141724203909526)	(2.0, 7.803180482417907)	(3.0, 3.831175497814543)	(4.0, 2.3134036235205)	(5.0, 1.626876228837414)	(6.0, 1.1715674756094756)	(7.0, 0.8856129013521371)	(8.0, 0.6351468697043459)	(9.0, 0.5518674923712177)	('>10', 3.9545131398146194)	('>50', 0.5383725372368721)	('>100', 0.8971205028016642)	('>500', 0.47884605317303314)	('>1k', 2.600947686630532)	('>5k', 3.288431457974987)	('>10k+', 29.281213846831267)
SRR23426210_2	(1.0, 70.8122877891098)	(2.0, 9.661059923595715)	(3.0, 3.471588002032654)	(4.0, 1.6658210421210586)	(5.0, 0.9365802534096727)	(6.0, 0.6491182457098942)	(7.0, 0.43659462188282705)	(8.0, 0.3063857792695362)	(9.0, 0.21492507308390452)	('>10', 1.2027818821317544)	('>50', 0.10596180496989199)	('>100', 0.23660881821085344)	('>500', 0.1554680024785797)	('>1k', 1.9003873679317143)	('>5k', 2.065845443343756)	('>10k+', 6.178585950718396)
SRR23426211_1	(1.0, 35.64230012185048)	(2.0, 5.998059770042163)	(3.0, 2.9869106221974215)	(4.0, 1.9112190106955227)	(5.0, 1.3391560622601506)	(6.0, 1.0184978691266573)	(7.0, 0.8162067497842025)	(8.0, 0.6584461646888043)	(9.0, 0.5542360970983005)	('>10', 4.714146065123407)	('>50', 0.9620632109055399)	('>100', 1.4585537185717166)	('>500', 0.6680118726474668)	('>1k', 3.599125524403094)	('>5k', 4.406405825513727)	('>10k+', 33.26666131509142)
SRR23426211_2	(1.0, 64.10807254377092)	(2.0, 9.481212208516359)	(3.0, 3.7448104963386775)	(4.0, 2.0318164259618197)	(5.0, 1.2417701921822784)	(6.0, 0.8158444602823046)	(7.0, 0.5562737750687671)	(8.0, 0.43471619174652726)	(9.0, 0.34892388090024656)	('>10', 1.7270044548126444)	('>50', 0.12745257790864115)	('>100', 0.3422948114747357)	('>500', 0.2363594217611508)	('>1k', 2.8170834323639973)	('>5k', 2.8941163122702545)	('>10k+', 9.092248814640687)
SRR23426212_1	(1.0, 34.295666885993285)	(2.0, 6.411117817334986)	(3.0, 3.2666141632499155)	(4.0, 1.9708057966082864)	(5.0, 1.3580887419533418)	(6.0, 0.9618064782098358)	(7.0, 0.7696127587977339)	(8.0, 0.5966481580612643)	(9.0, 0.4581729872205026)	('>10', 3.600857133559347)	('>50', 0.4950056462225254)	('>100', 0.7959789905404397)	('>500', 0.735638530017181)	('>1k', 3.504264683192489)	('>5k', 3.8928653197881093)	('>10k+', 36.8868559092508)
SRR23426212_2	(1.0, 65.09379162477258)	(2.0, 9.22763970799961)	(3.0, 3.529292683520747)	(4.0, 1.6991851659363528)	(5.0, 1.0324159480241009)	(6.0, 0.7059797083473832)	(7.0, 0.45550194721503445)	(8.0, 0.2987633092727323)	(9.0, 0.25762675244613314)	('>10', 1.1253549146698267)	('>50', 0.08594308898011264)	('>100', 0.2766544042511785)	('>500', 0.2653565095425899)	('>1k', 3.3721236920408972)	('>5k', 3.5273075151791247)	('>10k+', 9.047063027801634)
