Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR23426208_1	SRR23426208_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10035504.0	762.6 Mbp	0.0	76.0	37.0	43.13766195769392	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426208_2	SRR23426208_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10035504.0	762.6 Mbp	0.0	76.0	39.0	79.74785737651881	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426209_1	SRR23426209_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9960187.0	756.9 Mbp	0.0	76.0	38.0	40.641721713095976	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426209_2	SRR23426209_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9960187.0	756.9 Mbp	0.0	76.0	39.0	78.75096477615773	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426210_1	SRR23426210_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10569993.0	803.3 Mbp	0.0	76.0	36.0	46.94727037006129	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426210_2	SRR23426210_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10569993.0	803.3 Mbp	0.0	76.0	38.0	77.71998487840122	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426211_1	SRR23426211_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9125998.0	693.5 Mbp	0.0	76.0	37.0	41.11531655607308	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426211_2	SRR23426211_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9125998.0	693.5 Mbp	0.0	76.0	39.0	71.28395064194541	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426212_1	SRR23426212_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9685764.0	736.1 Mbp	0.0	76.0	38.0	39.98694787234244	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426212_2	SRR23426212_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9685764.0	736.1 Mbp	0.0	76.0	40.0	71.84811656596708	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426213_1	SRR23426213_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10879519.0	826.8 Mbp	0.0	76.0	37.0	42.17354198425689	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426213_2	SRR23426213_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10879519.0	826.8 Mbp	0.0	76.0	39.0	72.23572639363096	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426214_1	SRR23426214_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9151724.0	695.5 Mbp	0.0	76.0	37.0	41.77102974497299	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426214_2	SRR23426214_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9151724.0	695.5 Mbp	0.0	76.0	38.0	70.45790734311488	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
SRR23426215_1	SRR23426215_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9645221.0	733 Mbp	0.0	76.0	38.0	40.117946483337825	76.0	76	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
SRR23426215_2	SRR23426215_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9645221.0	733 Mbp	0.0	76.0	40.0	79.02256074879597	76.0	76	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
