Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR23426208_1	56.86233804230608	37.0	76.0	76	40.0	10.035504
SRR23426208_2	20.25214262348119	39.0	76.0	76	20.0	10.035504
SRR23426209_1	59.358278286904024	38.0	76.0	76	40.0	9.960187
SRR23426209_2	21.24903522384227	39.0	76.0	76	20.0	9.960187
SRR23426210_1	53.05272962993871	36.0	76.0	76	40.0	10.569993
SRR23426210_2	22.28001512159878	38.0	76.0	76	20.0	10.569993
SRR23426211_1	58.88468344392692	37.0	76.0	76	40.0	9.125998
SRR23426211_2	28.71604935805459	39.0	76.0	76	20.0	9.125998
SRR23426212_1	60.01305212765756	38.0	76.0	76	40.0	9.685763999999999
SRR23426212_2	28.151883434032925	40.0	76.0	76	20.0	9.685763999999999
SRR23426213_1	57.82645801574311	37.0	76.0	76	40.0	10.879519
SRR23426213_2	27.764273606369045	39.0	76.0	76	20.0	10.879519
SRR23426214_1	58.22897025502701	37.0	76.0	76	40.0	9.151724
SRR23426214_2	29.542092656885117	38.0	76.0	76	20.0	9.151724
SRR23426215_1	59.882053516662175	38.0	76.0	76	40.0	9.645221
SRR23426215_2	20.977439251204032	40.0	76.0	76	20.0	9.645221
SRR23426216_1	61.142000111942465	37.0	76.0	76	40.0	9.347007999999999
SRR23426216_2	28.91275691656523	39.0	76.0	76	20.0	9.347007999999999
SRR23426217_1	63.7860136441756	37.0	76.0	76	40.0	10.725512
SRR23426217_2	27.943424026608	39.0	76.0	76	20.0	10.725512
SRR23426218_1	61.054708959746904	36.0	76.0	76	40.0	12.050735
SRR23426218_2	25.641136473633296	38.0	76.0	76	20.0	12.050735
SRR23426219_1	63.187193512718764	37.0	76.0	76	40.0	10.888713
SRR23426219_2	27.80759274954309	38.0	76.0	76	20.0	10.888713
SRR23426220_1	59.77203545995156	37.0	76.0	76	40.0	9.445444
SRR23426220_2	30.13139942125943	39.0	76.0	76	20.0	9.445444
SRR23426221_1	63.10536225637128	38.0	76.0	76	40.0	10.543649
SRR23426221_2	22.229052555728742	40.0	76.0	76	20.0	10.543649
SRR23426222_1	58.04395234226111	37.0	76.0	76	40.0	10.332533
SRR23426222_2	24.111838899393902	39.0	76.0	76	20.0	10.332533
