"","SRR23426222","SRR23426221","SRR23426220","SRR23426219","SRR23426218","SRR23426217","SRR23426216","SRR23426214","SRR23426213","SRR23426212","SRR23426215","SRR23426211","SRR23426210","SRR23426209","SRR23426208"
"CAETHG_RS04025",4.43032400016136,2.7788860942123,1.32609646246295,2.52569664028268,1.88736670827101,3.29734953004905,0,0,1.16123983461273,0,0.971752810616566,3.39770108362033,5.38490173060609,0,2.01720128321117
"CAETHG_RS04030",4542.18968116544,87401.5254351653,4263.40012681837,55375.8988381977,21377.2590212316,8464.29624363592,80202.9346083373,45632.2559558369,8301.70357764637,12603.943290058,63879.1427586906,67397.9312617206,20146.455917549,32904.3751087118,65326.0549561521
"CAETHG_RS04035",1154.09940204204,1409.82154513037,888.484629850174,656.681126473496,548.280028752728,709.754486343058,1097.55663174106,813.889980235802,1354.00564715844,3073.89099543166,994.103125260747,627.442133441887,530.0281846268,1242.04390738907,1432.21291107993
"CAETHG_RS04130",125.156653004559,122.270988145341,155.153286108165,175.114967059599,190.152195858304,217.625068983237,205.642419019022,157.336289783956,157.928617507331,164.091742047894,132.158382243853,163.089652013776,138.468901644157,221.871240899624,169.444907789738
"CAETHG_RS04135",181.643284006616,130.607646427978,194.936179982053,296.348405793168,295.844731521481,276.153023141608,284.551719340274,233.046985619844,236.892926260996,230.577189256954,157.423955319884,212.922601240207,206.164809114633,269.725822270131,196.677125113089
"CAETHG_RS04140",122.941491004478,137.09171398114,128.631356858906,65.6681126473496,161.841695234239,168.989163415014,104.016804968924,59.1489811217879,89.4154672651798,99.0208788220048,103.977550735973,104.196166564357,124.622011479741,165.315826552661,103.885866085375
"CAETHG_RS05495",1.10758100004034,0,0,2.52569664028268,1.88736670827101,4.12168691256131,0,1.18297962243576,1.16123983461273,1.4145839831715,0,3.39770108362033,0,0,1.00860064160558
"CAETHG_RS05825",443.032400016136,542.809083736136,364.67652717731,542.182878780681,1537.26018388674,859.78388996029,364.65661512094,450.715236148024,429.658738806708,352.231411809703,751.164922606606,624.044432358266,593.108462042471,361.084568522917,393.354250226178
"CAETHG_RS06225",8111.92324429546,24139.2572050575,19695.1846604997,10345.2534385978,32636.3451194223,22183.7433007875,10241.470705331,23846.50322906,18469.5195695154,18955.4253744981,27565.7119787601,27345.8308880043,28444.589484413,16815.447331123,17934.9366090305
"CAETHG_RS06250",66.4548600024204,64.8406755316204,62.3265337357584,51.3558316857478,57.092842925198,63.4739784534442,58.5841775112329,61.5149403666594,88.2542274305671,53.7541913605169,62.1921798794602,69.0865887002799,56.1568323334635,73.9570802998746,52.4472333634904
"CAETHG_RS06290",9109.8537253318,13044.0913262325,7865.07811886773,2989.5829232146,9561.871585778,7484.98343321135,7271.61158414936,9829.37768281871,10008.7261345271,9165.08962696813,14588.9249457865,9917.88946308773,9684.36112665716,7495.7676092167,8922.081275643
