# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "gene" "-g" "gene_id" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "bam_files/SRR23426208.bam" "bam_files/SRR23426209.bam" "bam_files/SRR23426210.bam" "bam_files/SRR23426211.bam" "bam_files/SRR23426212.bam" "bam_files/SRR23426213.bam" "bam_files/SRR23426214.bam" "bam_files/SRR23426215.bam" "bam_files/SRR23426216.bam" "bam_files/SRR23426217.bam" "bam_files/SRR23426218.bam" "bam_files/SRR23426219.bam" "bam_files/SRR23426220.bam" "bam_files/SRR23426221.bam" "bam_files/SRR23426222.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_files/SRR23426208.bam	bam_files/SRR23426209.bam	bam_files/SRR23426210.bam	bam_files/SRR23426211.bam	bam_files/SRR23426212.bam	bam_files/SRR23426213.bam	bam_files/SRR23426214.bam	bam_files/SRR23426215.bam	bam_files/SRR23426216.bam	bam_files/SRR23426217.bam	bam_files/SRR23426218.bam	bam_files/SRR23426219.bam	bam_files/SRR23426220.bam	bam_files/SRR23426221.bam	bam_files/SRR23426222.bam
CAETHG_RS00005	NC_022592.1	79	285	+	207	236	199	296	222	193	317	283	286	244	177	358	129	164	252	220
CAETHG_RS00010	NC_022592.1	524	781	-	258	9	89	12	56	210	125	21	42	41	673	1117	523	197	138	36
CAETHG_RS00015	NC_022592.1	789	1250	-	462	12	106	20	37	172	81	10	47	29	706	1098	630	141	130	31
CAETHG_RS00020	NC_022592.1	1366	2340	+	975	988	985	1203	730	597	906	932	686	1087	524	597	622	773	697	1072
CAETHG_RS00025	NC_022592.1	2384	3609	+	1226	729	848	1227	791	654	808	909	689	1044	499	520	720	802	686	1141
CAETHG_RS00030	NC_022592.1	3633	6290	+	2658	1379	1566	2559	1749	1316	1771	1733	1563	1927	1370	1850	1526	1612	1869	2360
CAETHG_RS00035	NC_022592.1	6496	7722	+	1227	224	180	637	510	209	254	1098	425	142	415	493	398	236	380	488
CAETHG_RS00040	NC_022592.1	7752	9257	+	1506	297	268	993	704	431	493	1270	676	243	1044	1136	886	576	764	860
CAETHG_RS00045	NC_022592.1	9319	9993	-	675	57	117	69	109	250	110	43	106	54	1716	2969	1006	230	224	58
CAETHG_RS00050	NC_022592.1	10179	11381	+	1203	431	495	1856	1454	841	1514	1160	1127	1119	929	1387	818	640	877	851
CAETHG_RS00055	NC_022592.1	11631	12203	+	573	127	107	258	247	178	288	282	191	241	123	119	111	93	128	159
CAETHG_RS00060	NC_022592.1	12205	12876	+	672	217	196	563	389	359	536	597	310	550	143	230	183	154	190	251
CAETHG_RS00065	NC_022592.1	12993	13940	+	948	234	216	345	201	126	242	316	144	288	114	170	131	145	107	164
CAETHG_RS00070	NC_022592.1	13992	14195	-	204	35	28	29	26	19	33	31	20	23	17	41	34	23	31	33
CAETHG_RS00075	NC_022592.1	14197	14589	-	393	68	53	64	39	33	68	58	49	61	44	84	69	30	49	37
CAETHG_RS00080	NC_022592.1	15326	15868	+	543	166	169	152	102	149	170	133	108	122	315	318	278	144	143	102
CAETHG_RS00085	NC_022592.1	15883	16341	+	459	184	161	177	104	181	173	190	121	125	279	300	250	110	120	98
CAETHG_RS00090	NC_022592.1	16408	17190	+	783	1132	1233	1214	851	924	1112	1078	834	1423	968	926	1395	873	529	1018
CAETHG_RS00095	NC_022592.1	17208	18098	+	891	663	759	803	560	678	675	604	540	869	661	690	856	528	370	696
CAETHG_RS00100	NC_022592.1	18111	19049	+	939	568	618	850	575	608	721	622	639	811	939	1189	944	565	475	693
CAETHG_RS00105	NC_022592.1	19336	20037	+	702	237	211	393	264	189	271	256	214	229	229	434	249	203	284	262
CAETHG_RS00110	NC_022592.1	20027	21475	+	1449	339	326	635	381	300	427	428	315	414	328	364	352	297	317	422
CAETHG_RS00115	NC_022592.1	21559	22923	+	1365	432	470	803	504	481	637	588	445	669	434	442	476	474	426	629
CAETHG_RS20505	NC_022592.1	23191	23880	-	690	7310	6104	6088	4871	5623	7090	4619	3920	5494	4964	4604	5898	6782	8141	8302
CAETHG_RS00130	NC_022592.1	23941	24462	-	522	7309	6517	7756	5550	5311	7208	4930	3740	5763	5283	6070	6561	6874	7324	8419
CAETHG_RS00135	NC_022592.1	24943	25140	+	198	16	147	82	122	262	111	30	144	47	1043	2242	523	140	311	65
CAETHG_RS00140	NC_022592.1	25220	26041	-	822	674	646	653	370	357	547	451	300	605	282	253	253	279	321	362
