# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "gene_id" "-p" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "alignments/SRR23426209.sorted.bam" "alignments/SRR23426208.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/SRR23426209.sorted.bam	alignments/SRR23426208.sorted.bam
CAETHG_RS04025	NC_022592.1	884829	884945	-	117	0	2
CAETHG_RS04030	NC_022592.1	885055	887944	-	2890	30254	64769
CAETHG_RS04035	NC_022592.1	888201	889710	-	1510	1142	1420
CAETHG_RS04130	NC_022592.1	909600	909684	-	85	204	168
CAETHG_RS04135	NC_022592.1	909756	909831	-	76	248	195
CAETHG_RS04140	NC_022592.1	909834	909908	-	75	152	103
CAETHG_RS05495	NC_022592.1	1193446	1193520	-	75	0	1
CAETHG_RS05825	NC_022592.1	1255006	1255092	-	87	332	390
CAETHG_RS06225	NC_022592.1	1338625	1338815	-	191	15461	17782
CAETHG_RS06250	NC_022592.1	1342644	1342728	-	85	68	52
CAETHG_RS06290	NC_022592.1	1350186	1350362	-	177	6892	8846
CAETHG_RS06710	NC_022592.1	1445050	1445125	+	76	135	190
CAETHG_RS06715	NC_022592.1	1445189	1445264	+	76	40	46
CAETHG_RS06720	NC_022592.1	1445277	1445351	+	75	11	7
CAETHG_RS06725	NC_022592.1	1445357	1445430	+	74	2	3
CAETHG_RS07690	NC_022592.1	1648799	1648875	-	77	5	7
CAETHG_RS07695	NC_022592.1	1648904	1648977	-	74	12	19
CAETHG_RS07700	NC_022592.1	1648997	1649072	-	76	4	0
CAETHG_RS07705	NC_022592.1	1649090	1649165	-	76	9	17
CAETHG_RS07710	NC_022592.1	1649172	1649248	-	77	29	33
CAETHG_RS07715	NC_022592.1	1649254	1649327	-	74	38	48
CAETHG_RS07720	NC_022592.1	1649336	1649410	-	75	48	63
CAETHG_RS07725	NC_022592.1	1649441	1649525	-	85	25	38
CAETHG_RS07730	NC_022592.1	1649556	1649631	-	76	288	348
CAETHG_RS07735	NC_022592.1	1649636	1649710	-	75	25	21
CAETHG_RS07740	NC_022592.1	1649715	1649790	-	76	29	40
CAETHG_RS07745	NC_022592.1	1649798	1649873	-	76	115	157
CAETHG_RS07750	NC_022592.1	1649877	1649953	-	77	147	226
CAETHG_RS07755	NC_022592.1	1649959	1650032	-	74	180	131
CAETHG_RS07760	NC_022592.1	1650111	1650186	-	76	21	16
CAETHG_RS08395	NC_022592.1	1793690	1793765	-	76	40	78
CAETHG_RS08555	NC_022592.1	1838247	1838606	+	360	431440	409013
CAETHG_RS08880	NC_022592.1	1905408	1905494	-	87	58	54
CAETHG_RS09855	NC_022592.1	2096289	2096364	-	76	901	897
CAETHG_RS09860	NC_022592.1	2096374	2096448	-	75	156	135
CAETHG_RS09945	NC_022592.1	2113602	2113676	-	75	31	32
CAETHG_RS09950	NC_022592.1	2113731	2113806	-	76	973	1405
CAETHG_RS09955	NC_022592.1	2113810	2113886	-	77	29	56
CAETHG_RS09960	NC_022592.1	2113892	2114008	-	117	2	3
CAETHG_RS09965	NC_022592.1	2114155	2117044	-	2890	38814	45134
CAETHG_RS09970	NC_022592.1	2117329	2118838	-	1510	1741	1484
CAETHG_RS09985	NC_022592.1	2122837	2122911	-	75	147	153
CAETHG_RS10035	NC_022592.1	2135114	2135189	-	76	2	2
CAETHG_RS10040	NC_022592.1	2135198	2135286	-	89	59	85
CAETHG_RS10045	NC_022592.1	2135298	2135374	-	77	262	200
CAETHG_RS10050	NC_022592.1	2135391	2135466	-	76	18	8
CAETHG_RS10055	NC_022592.1	2135475	2135563	-	89	42	38
CAETHG_RS10165	NC_022592.1	2157455	2157530	+	76	25	37
CAETHG_RS10375	NC_022592.1	2196759	2196834	-	76	10	6
CAETHG_RS10380	NC_022592.1	2196840	2196916	-	77	14	8
CAETHG_RS10385	NC_022592.1	2196922	2196997	-	76	21	32
CAETHG_RS10390	NC_022592.1	2197013	2197087	-	75	40	45
CAETHG_RS10590	NC_022592.1	2238611	2238686	-	76	0	1
CAETHG_RS10780	NC_022592.1	2271731	2273240	+	1510	432	299
CAETHG_RS10785	NC_022592.1	2273525	2276414	+	2890	51458	66575
CAETHG_RS10790	NC_022592.1	2276622	2276738	+	117	2	0
CAETHG_RS10795	NC_022592.1	2276744	2276820	+	77	0	0
CAETHG_RS10830	NC_022592.1	2284557	2284647	+	91	80	123
CAETHG_RS10835	NC_022592.1	2284677	2284767	+	91	54	72
CAETHG_RS10840	NC_022592.1	2284931	2285007	+	77	91	113
CAETHG_RS11105	NC_022592.1	2336614	2336690	+	77	116	151
CAETHG_RS11115	NC_022592.1	2337282	2337374	+	93	50	50
CAETHG_RS11150	NC_022592.1	2342133	2342222	+	90	94	120
CAETHG_RS11155	NC_022592.1	2342234	2342499	+	266	96185	85415
CAETHG_RS11235	NC_022592.1	2355327	2356836	+	1510	53	100
CAETHG_RS11240	NC_022592.1	2357121	2360010	+	2890	51234	63899
CAETHG_RS11245	NC_022592.1	2360218	2360334	+	117	0	1
CAETHG_RS11250	NC_022592.1	2360340	2360415	+	76	0	1
CAETHG_RS11305	NC_022592.1	2372231	2373740	+	1510	18	14
CAETHG_RS11310	NC_022592.1	2374025	2376914	+	2890	91243	136426
CAETHG_RS11315	NC_022592.1	2377024	2377140	+	117	2	1
CAETHG_RS11320	NC_022592.1	2377150	2377225	+	76	0	1
CAETHG_RS11385	NC_022592.1	2392695	2394204	+	1510	59	42
CAETHG_RS11390	NC_022592.1	2394594	2397483	+	2890	33381	98920
CAETHG_RS11395	NC_022592.1	2397691	2397807	+	117	2	28
CAETHG_RS11405	NC_022592.1	2398976	2399049	+	74	1	0
CAETHG_RS11980	NC_022592.1	2515815	2515890	+	76	39	29
CAETHG_RS11985	NC_022592.1	2515896	2515980	+	85	14	14
CAETHG_RS11990	NC_022592.1	2515990	2516065	+	76	67	51
CAETHG_RS11995	NC_022592.1	2516087	2516162	+	76	36	36
CAETHG_RS12000	NC_022592.1	2516168	2516252	+	85	23	31
CAETHG_RS12105	NC_022592.1	2542220	2542294	-	75	79	101
CAETHG_RS13785	NC_022592.1	2935179	2936688	+	1510	1124	2092
CAETHG_RS13790	NC_022592.1	2936973	2937048	+	76	0	2
CAETHG_RS13795	NC_022592.1	2937053	2937129	+	77	88	155
CAETHG_RS13800	NC_022592.1	2937441	2940330	+	2890	22659	28635
CAETHG_RS13825	NC_022592.1	2944734	2944850	+	117	2	4
CAETHG_RS13830	NC_022592.1	2944860	2944935	+	76	11	23
CAETHG_RS13930	NC_022592.1	2966985	2968494	+	1510	270	139
CAETHG_RS13935	NC_022592.1	2968779	2968854	+	76	3	1
CAETHG_RS13940	NC_022592.1	2968859	2968935	+	77	3	4
CAETHG_RS13945	NC_022592.1	2969220	2972109	+	2890	4794	4031
CAETHG_RS13950	NC_022592.1	2972294	2972410	+	117	3	4
CAETHG_RS13955	NC_022592.1	2972425	2972499	+	75	4	3
CAETHG_RS14160	NC_022592.1	3026116	3026307	+	192	2782	3553
CAETHG_RS14415	NC_022592.1	3077345	3077441	+	97	34	31
CAETHG_RS14810	NC_022592.1	3164630	3164974	+	345	59721	74718
CAETHG_RS18175	NC_022592.1	3871397	3871472	+	76	13	7
CAETHG_RS18180	NC_022592.1	3872009	3873516	+	1508	486	524
CAETHG_RS18185	NC_022592.1	3873935	3876824	+	2890	55738	46544
CAETHG_RS18190	NC_022592.1	3877090	3877206	+	117	1	8
