# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-t" "exon" "-g" "gene_id" "-p" "-a" "reference/GCF_000484505.2_ASM48450v2_genomic.gtf" "-o" "counts/gene_counts.txt" "alignments/SRR23426222.sorted.bam" "alignments/SRR23426221.sorted.bam" "alignments/SRR23426220.sorted.bam" "alignments/SRR23426219.sorted.bam" "alignments/SRR23426218.sorted.bam" "alignments/SRR23426217.sorted.bam" "alignments/SRR23426216.sorted.bam" "alignments/SRR23426214.sorted.bam" "alignments/SRR23426213.sorted.bam" "alignments/SRR23426212.sorted.bam" "alignments/SRR23426215.sorted.bam" "alignments/SRR23426211.sorted.bam" "alignments/SRR23426210.sorted.bam" "alignments/SRR23426209.sorted.bam" "alignments/SRR23426208.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/SRR23426222.sorted.bam	alignments/SRR23426221.sorted.bam	alignments/SRR23426220.sorted.bam	alignments/SRR23426219.sorted.bam	alignments/SRR23426218.sorted.bam	alignments/SRR23426217.sorted.bam	alignments/SRR23426216.sorted.bam	alignments/SRR23426214.sorted.bam	alignments/SRR23426213.sorted.bam	alignments/SRR23426212.sorted.bam	alignments/SRR23426215.sorted.bam	alignments/SRR23426211.sorted.bam	alignments/SRR23426210.sorted.bam	alignments/SRR23426209.sorted.bam	alignments/SRR23426208.sorted.bam
CAETHG_RS04025	NC_022592.1	884829	884945	-	117	4	3	1	3	4	4	0	0	1	0	1	3	7	0	2
CAETHG_RS04030	NC_022592.1	885055	887944	-	2890	4101	94356	3215	65775	45306	10268	67082	38574	7149	8910	65736	59509	26189	30254	64769
CAETHG_RS04035	NC_022592.1	888201	889710	-	1510	1042	1522	670	780	1162	861	918	688	1166	2173	1023	554	689	1142	1420
CAETHG_RS04130	NC_022592.1	909600	909684	-	85	113	132	117	208	403	264	172	133	136	116	136	144	180	204	168
CAETHG_RS04135	NC_022592.1	909756	909831	-	76	164	141	147	352	627	335	238	197	204	163	162	188	268	248	195
CAETHG_RS04140	NC_022592.1	909834	909908	-	75	111	148	97	78	343	205	87	50	77	70	107	92	162	152	103
CAETHG_RS05495	NC_022592.1	1193446	1193520	-	75	1	0	0	3	4	5	0	1	1	1	0	3	0	0	1
CAETHG_RS05825	NC_022592.1	1255006	1255092	-	87	400	586	275	644	3258	1043	305	381	370	249	773	551	771	332	390
CAETHG_RS06225	NC_022592.1	1338625	1338815	-	191	7324	26060	14852	12288	69168	26911	8566	20158	15905	13400	28367	24145	36976	15461	17782
CAETHG_RS06250	NC_022592.1	1342644	1342728	-	85	60	70	47	61	121	77	49	52	76	38	64	61	73	68	52
CAETHG_RS06290	NC_022592.1	1350186	1350362	-	177	8225	14082	5931	3551	20265	9080	6082	8309	8619	6479	15013	8757	12589	6892	8846
CAETHG_RS06710	NC_022592.1	1445050	1445125	+	76	150	174	113	190	577	177	137	161	145	92	246	186	259	135	190
CAETHG_RS06715	NC_022592.1	1445189	1445264	+	76	42	42	40	81	223	72	35	50	49	26	54	53	90	40	46
CAETHG_RS06720	NC_022592.1	1445277	1445351	+	75	9	13	19	17	56	25	10	8	4	9	12	19	18	11	7
CAETHG_RS06725	NC_022592.1	1445357	1445430	+	74	1	1	0	3	16	4	0	4	0	2	3	2	7	2	3
CAETHG_RS07690	NC_022592.1	1648799	1648875	-	77	3	3	2	9	17	7	4	6	4	6	16	2	9	5	7
CAETHG_RS07695	NC_022592.1	1648904	1648977	-	74	6	4	6	9	73	17	14	23	8	3	13	9	17	12	19
CAETHG_RS07700	NC_022592.1	1648997	1649072	-	76	2	4	9	0	3	2	2	4	1	3	4	1	4	4	0
CAETHG_RS07705	NC_022592.1	1649090	1649165	-	76	10	19	13	16	30	11	13	20	12	7	26	9	18	9	17
CAETHG_RS07710	NC_022592.1	1649172	1649248	-	77	33	38	25	52	97	40	24	31	33	29	62	37	67	29	33
CAETHG_RS07715	NC_022592.1	1649254	1649327	-	74	40	45	47	62	97	35	27	51	40	29	40	40	80	38	48
CAETHG_RS07720	NC_022592.1	1649336	1649410	-	75	64	71	54	89	95	85	63	57	50	44	69	58	81	48	63
CAETHG_RS07725	NC_022592.1	1649441	1649525	-	85	39	37	37	19	35	29	29	20	18	20	21	32	29	25	38
CAETHG_RS07730	NC_022592.1	1649556	1649631	-	76	343	330	297	264	464	254	233	257	235	187	230	237	341	288	348
CAETHG_RS07735	NC_022592.1	1649636	1649710	-	75	26	39	39	35	47	38	18	32	24	13	36	25	37	25	21
CAETHG_RS07740	NC_022592.1	1649715	1649790	-	76	29	48	23	35	43	33	30	28	41	21	34	43	46	29	40
CAETHG_RS07745	NC_022592.1	1649798	1649873	-	76	182	180	134	147	263	117	115	153	129	99	157	138	182	115	157
CAETHG_RS07750	NC_022592.1	1649877	1649953	-	77	214	191	187	229	414	196	108	187	154	99	192	193	221	147	226
CAETHG_RS07755	NC_022592.1	1649959	1650032	-	74	188	209	181	241	351	243	172	168	158	133	203	203	296	180	131
CAETHG_RS07760	NC_022592.1	1650111	1650186	-	76	31	60	18	11	25	25	15	30	24	12	34	26	24	21	16
CAETHG_RS08395	NC_022592.1	1793690	1793765	-	76	53	46	35	43	195	68	31	69	55	33	92	64	73	40	78
CAETHG_RS08555	NC_022592.1	1838247	1838606	+	360	420102	410645	342129	267458	358279	243529	350326	329618	463263	333735	267166	240806	298245	431440	409013
CAETHG_RS08880	NC_022592.1	1905408	1905494	-	87	49	39	29	63	142	94	46	55	64	38	65	63	83	58	54
CAETHG_RS09855	NC_022592.1	2096289	2096364	-	76	688	477	743	1117	766	738	1045	885	862	661	612	663	1078	901	897
CAETHG_RS09860	NC_022592.1	2096374	2096448	-	75	93	96	105	175	154	123	191	113	168	133	124	148	177	156	135
CAETHG_RS09945	NC_022592.1	2113602	2113676	-	75	51	34	23	40	100	31	33	23	29	22	30	30	38	31	32
CAETHG_RS09950	NC_022592.1	2113731	2113806	-	76	1341	1370	1011	860	2365	1090	832	1093	1034	580	1089	751	931	973	1405
CAETHG_RS09955	NC_022592.1	2113810	2113886	-	77	33	53	41	31	65	48	23	38	29	26	45	35	41	29	56
CAETHG_RS09960	NC_022592.1	2113892	2114008	-	117	2	2	3	5	2	4	5	6	2	3	3	6	9	2	3
CAETHG_RS09965	NC_022592.1	2114155	2117044	-	2890	36110	84393	110793	55323	39496	163913	87023	16281	41141	66010	41236	40502	44207	38814	45130
CAETHG_RS09970	NC_022592.1	2117329	2118838	-	1510	1793	2340	1093	1469	1116	1896	2276	1305	3060	2381	1645	1165	1528	1741	1484
CAETHG_RS09985	NC_022592.1	2122837	2122911	-	75	150	150	112	160	324	208	161	142	150	132	124	115	217	147	153
CAETHG_RS10035	NC_022592.1	2135114	2135189	-	76	2	2	2	11	23	5	3	11	4	3	5	3	7	2	2
CAETHG_RS10040	NC_022592.1	2135198	2135286	-	89	74	69	71	134	217	123	75	61	64	36	63	76	95	59	85
CAETHG_RS10045	NC_022592.1	2135298	2135374	-	77	185	186	169	301	624	311	230	195	192	173	205	206	295	262	200
CAETHG_RS10050	NC_022592.1	2135391	2135466	-	76	9	22	9	15	40	31	12	9	9	15	28	10	15	18	8
CAETHG_RS10055	NC_022592.1	2135475	2135563	-	89	54	39	25	54	97	52	44	40	36	37	27	28	70	42	38
CAETHG_RS10165	NC_022592.1	2157455	2157530	+	76	33	26	11	17	44	12	17	9	20	11	16	22	32	25	37
CAETHG_RS10375	NC_022592.1	2196759	2196834	-	76	5	12	8	19	31	18	6	7	6	1	7	7	9	10	6
CAETHG_RS10380	NC_022592.1	2196840	2196916	-	77	14	13	12	16	14	25	10	3	6	7	12	7	14	14	8
CAETHG_RS10385	NC_022592.1	2196922	2196997	-	76	20	26	22	50	118	47	22	19	20	23	31	29	49	21	32
CAETHG_RS10390	NC_022592.1	2197013	2197087	-	75	36	42	29	56	148	73	31	39	27	29	40	17	51	40	45
CAETHG_RS10590	NC_022592.1	2238611	2238686	-	76	2	0	2	3	10	1	0	1	1	1	4	2	5	0	1
CAETHG_RS10780	NC_022592.1	2271731	2273240	+	1510	655	1361	119	1095	165	559	215	249	736	728	699	383	277	432	299
CAETHG_RS10785	NC_022592.1	2273525	2276414	+	2890	81579	33954	47494	42855	27725	39287	28412	67061	31316	42730	54781	22023	41289	51458	66575
CAETHG_RS10790	NC_022592.1	2276622	2276738	+	117	2	0	0	3	2	8	2	5	1	0	2	1	2	2	0
CAETHG_RS10795	NC_022592.1	2276744	2276820	+	77	0	0	1	1	0	3	1	1	2	1	3	2	1	0	0
CAETHG_RS10830	NC_022592.1	2284557	2284647	+	91	94	119	47	55	301	139	56	66	43	37	157	73	129	80	123
CAETHG_RS10835	NC_022592.1	2284677	2284767	+	91	42	68	28	58	166	67	48	44	38	30	102	59	83	54	72
CAETHG_RS10840	NC_022592.1	2284931	2285007	+	77	83	75	50	179	241	119	100	92	66	78	96	84	136	91	113
CAETHG_RS11105	NC_022592.1	2336614	2336690	+	77	124	72	73	120	198	97	96	119	88	53	83	74	133	116	151
CAETHG_RS11115	NC_022592.1	2337282	2337374	+	93	41	30	30	36	57	34	40	45	31	32	22	33	62	50	50
CAETHG_RS11150	NC_022592.1	2342133	2342222	+	90	100	106	65	150	201	117	67	83	70	58	103	91	131	94	120
CAETHG_RS11155	NC_022592.1	2342234	2342499	+	266	104454	154627	87726	121633	192506	149206	79788	70912	86880	82056	87377	73468	81241	96185	85415
